Entry,M_d1_A,M_d3_A,M_d6_A,O_d1_A,O_d3_A,O_d6_A,O_d7_A,O_d8_A,Past_d1_A,Past_d2_A,Past_d3_A,Past_d6_A,Past_d7_A,Pstr_d7_A
P02980,0,0,0,0,0,0,0,0,456,593,223,68,58,0
P02981,0,0,0,0,0,0,0,0,357,402,136,161,38,0
P02982,0,0,0,0,0,0,0,0,473,568,215,114,90,0
P03958,0,0,0,0,0,0,0,0,106,101,20,31,23,0
P03965,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P04046,0,0,0,0,0,0,0,0,292,109,42,70,3,0
P04058,0,0,0,0,0,0,0,0,5,0,7,0,0,0
P04062,0,0,0,0,0,0,0,0,49,44,20,0,11,0
P04069,0,0,0,0,0,0,0,0,84,74,11,17,4,0
P04078,0,0,0,0,0,0,0,0,428.015,459.677,185.94,217.443,18,0
P04105,0,0,0,0,0,0,0,0,827.161,648.147,327,212.227,61.149,0
P04176,0,0,0,0,0,0,0,0,85,74,47,17,6,0
P04352,0,0,0,0,0,0,0,0,213,279,124,56,27,0
P04414,0,0,0,0,0,0,0,0,64,47,28,22,0,0
P04464,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P04630,1,0,2,0,0,0,0,0,1493.779,1534.653,604.911,325.167,185,0
P04634,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P04778,0,0,0,0,0,0,0,0,0,0,0,0,0,118
P04801,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P04802,0,0,0,0,0,0,0,0,73,67,31,42,2,0
P04839,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P04904,0,0,0,0,0,0,0,0,27,37,7,24,7,0
P04919,0,0,0,0,0,0,0,0,4401.721,3326.964,1436.308,1430.997,165.986,0
P05036,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P05102,0,0,0,0,0,0,0,0,4,6,1,7,0,0
P05132,0,0,0,1,0,0,0,0,654,512,248,157,70,0
P05333,0,0,0,0,0,0,0,0,0,0,1,0,0,0
P05334,0,0,0,0,0,0,0,0,176,236,132,186,30,0
P05419,0,0,0,0,0,0,0,0,121,187,111,40,12,0
P05434,0,0,0,0,0,0,0,0,452.05,448.45,148.553,55,34,0
P05438,0,0,0,1,0,0,0,0,377,406,196,105,42,0
P05456,0,0,0,0,0,0,0,0,173,212,93,9.715,18,0
P05714,0,0,0,0,0,0,0,0,32,47,7,0,3,0
P05744,26,66,48,82,94,73,132,46,2326.718,2024.859,1184,1889,401,0
P05804,0,0,0,0,0,0,0,0,5,13,3,13,3,0
P05932,0,0,0,0,0,0,0,0,128,71,45,25,7,0
P05933,1,0,5,0,0,0,0,0,578.029,700.807,311,146.901,87,0
P05934,0,0,2,0,0,0,0,0,579,510,221,129,102,0
P05987,0,0,0,0,0,0,0,0,22,45,23,0,2,0
P05990,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P06149,0,0,0,0,0,0,0,0,153,179,76,77,17,0
P06169,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P06197,0,0,0,0,0,0,0,0,103,101,16,39,0,0
P06245,0,0,0,0,0,0,0,0,45,38,29,8,2,0
P06280,0,0,0,0,0,0,0,0,117,192,102,57,30,0
P06283,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P06541,0,0,0,0,0,0,0,0,317.968,250.282,94.367,43.129,67.564,0
P06566,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P06604,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P06660,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P06682,0,0,0,0,0,0,0,0,1478,1438,648,600,101,0
