Entry,M_d1_A,M_d3_A,M_d6_A,O_d1_A,O_d3_A,O_d6_A,O_d7_A,O_d8_A,Past_d1_A,Past_d2_A,Past_d3_A,Past_d6_A,Past_d7_A,Pstr_d7_A
Q3UGF1,0,0,0,0,0,0,0,0,40.204,57.834,20.144,10,5.998,0
Q3UGM2,0,0,0,0,0,0,0,0,102,90,56,35,12,0
Q3UGR5,0,0,0,0,0,0,0,0,36,46,24,8,3,0
Q3UHD1,0,0,0,0,0,0,0,0,187.998,208,61,32,25,0
Q3UIR3,0,0,0,0,0,0,0,0,26.76,13,20.131,7.22,0,0
Q3UIZ8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q3UJK4,0,0,0,0,0,0,0,0,169,98,40,27,19,0
Q3ULA2,0,0,0,0,0,0,0,0,33,30,14,0,4,0
Q3UMR0,0,0,0,0,0,0,0,0,8,1,4,0,6,0
Q3UN02,2,0,0,0,0,0,0,0,3,5,0,0,1,0
Q3URE1,0,0,0,0,0,0,0,0,158,203,67,69,36,0
Q3URY6,0,0,0,0,0,0,0,0,51,126,69,16,12,0
Q3USW5,0,0,0,0,0,0,0,0,13,13,8,8,2,0
Q3UTQ8,0,0,0,0,0,0,0,0,80,58,27,10,4,0
Q3UUG6,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Q3UVK0,0,0,0,0,0,0,0,0,20,18,8,2,0,0
Q3UVV9,0,0,0,0,0,0,0,0,48,86,19,9,21,0
Q3UY23,0,0,0,0,0,0,0,0,19,10,8,3,3,0
Q3UY96,0,0,0,0,0,0,0,0,376,524,257,79,31,0
Q3V016,0,0,0,0,0,0,0,0,243,182,102,65,12,0
Q3V050,0,0,0,0,0,2,0,0,67,88,40,17,3,0
Q3V096,0,0,0,0,0,0,0,0,547,365,162,472,57,0
Q3V172,0,0,0,0,0,0,0,0,28,72,16,16,13,0
Q3V188,0,0,0,0,0,0,0,0,474,414,146,143,29,0
Q3V1H9,0,0,0,0,0,0,0,0,132,84,43,18,4,0
Q3V1V3,0,0,0,0,0,0,0,0,135,147,69,31,26,0
Q3V2Q8,0,0,0,0,0,0,0,0,50,70,6,13,9,0
Q3V384,0,0,0,0,0,0,0,0,127,134,58,23,20,0
Q3V3N7,0,0,1,0,0,0,0,0,182,194,88,79,36,0
Q3Y8L7,1,0,0,0,0,0,0,0,486,451,214,247,71,0
Q3YL57,0,0,0,0,0,0,0,0,17,10,27,0,1,0
Q3ZBE9,0,0,0,0,0,0,0,0,79,78,31,0,2,0
Q3ZBH0,0,2,3,0,0,0,0,0,1128,971,335,404,105,0
Q3ZBK2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q3ZBU2,0,0,0,0,0,0,0,0,538,404,150,184,59,0
Q3ZBX1,0,0,0,0,0,0,0,0,56,82,20,14,8,0
Q3ZBZ8,0,0,1,0,0,0,0,0,503,436,179.998,170.998,7.998,0
Q3ZCB8,0,0,0,0,0,0,0,0,268,185,80,133,51,0
Q3ZCC8,0,0,0,0,0,0,0,0,259,204,122,126,11,0
Q3ZCJ2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q3ZFI7,0,0,0,0,0,0,0,0,230.414,294.417,142.255,70,52,0
Q3ZJ39,0,0,0,0,0,0,0,0,820,703,284,631,56,0
Q40002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q400C7,0,0,0,0,0,0,0,0,51,83,47,28,13,0
Q40134,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q40143,0,0,0,0,0,0,0,0,219,207,100,46,34,0
Q40289,0,0,0,0,0,0,0,0,90,91,22,49,7,0
Q40296,0,0,0,3,3,0,0,0,3301.456,2461.403,823.262,1504.109,163.388,0
Q40297,4,0,0,0,0,3,0,0,6914.839,4084.898,1964.398,4910.476,281.593,0
Q40298,4,0,0,0,0,0,3,0,4479.621,3887.478,1303.663,2728.412,236.795,0
Q40300,5,2,3,8,0,2,0,0,55053.107,43114.569,16256.849,32619.337,3408.31,0
Q40301,2,0,0,0,0,2,0,0,11622.153,9348.533,3294.436,5626.43,816.655,0
Q40375,0,0,0,0,0,0,0,0,2,0,0,4,0,0
Q40531,0,0,0,0,0,0,0,0,11,5,3,0,0,0
Q40532,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q40593,0,0,0,0,0,0,0,0,40,68,35,8,4,0
Q40648,0,0,0,0,0,0,0,0,7,23,0,5,3,0
Q40762,0,0,0,0,0,0,0,0,1,0,2,3,0,0
Q40784,0,0,0,0,0,0,0,0,154,172,111,97,37,0
Q40832,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q40863,0,0,0,0,0,0,0,0,24,25.006,11.725,12,1,0
Q41005,0,0,0,0,0,0,0,0,1.032,0,0,0,0,0
Q41058,0,0,0,0,0,0,0,0,22,26,10,0,0,0
Q41093,0,0,0,0,0,0,0,0,189,103,38,137,5,0
Q41365,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q41406,0,1,0,0,1,1,8,0,30771.34,20336.516,7932.5,11104.18,870.779,3
Q41407,0,0,0,0,0,0,0,0,638,421,103,294,11,0
Q41639,0,0,0,0,0,0,0,0,2,3,6,10,0,0
Q41819,0,0,0,0,0,0,0,0,196,221,68,120,32,0
Q42093,0,0,0,0,0,0,0,0,438,339,106,152,30,0
Q42202,54.976,75.992,54,60.564,103.311,88.602,78.729,97.172,1923.747,1787,1129.026,1711.51,342,0
Q42262,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q42290,0,0,0,4,0,0,0,0,934,702,308,318,111,0
Q42342,0,0,0,0,0,0,0,0,222,214,120,77,52,0
Q42344,0,0,0,0,0,0,0,0,44,90,20,0,6,0
Q42395,0,0,0,1,0,0,0,0,3064,2991,839,1028,283,0
Q42396,0,0,0,0,0,0,0,0,200.001,203.68,117,72,45,0
Q42404,1,0,0,0,0,0,0,0,163.502,81,36,60,0,0
Q42406,0,0,0,0,0,0,0,0,186,161,50,106,27,0
Q42479,0,0,0,2,0,0,0,0,254,256,125,114,37,0
Q42510,0,0,0,0,0,0,0,0,13,8,3,0,0,0
Q42536,3,0,0,0,0,0,0,0,2229,1612,654,1009,101,0
Q42569,1,0,0,0,0,0,0,0,25.96,11.883,1.027,7.055,3,0
Q42572,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q42593,0,0,0,0,0,0,0,0,1390,1044,536,448,135,0
Q42656,0,0,0,0,0,0,0,0,143,150,83,44,21,0
Q42682,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q42686,0,1,0,0,0,0,0,0,1803,1456,644,668,151,0
Q42688,0,0,0,0,0,0,0,0,412,383,131,211,52,0
Q42857,0,0,0,0,0,0,0,3,672.5,299,270,334,24,0
Q42883,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q42971,0,0,0,0,0,0,0,0,554,288,125,236,18,0
Q42972,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q43011,0,0,0,0,0,0,0,0,989,757,316,356,52,0
Q43092,0,0,0,0,0,0,0,2,3226.15,2550.658,1065.743,1616.282,149,0
Q43155,0,0,0,0,0,0,0,0,74,88,18,15,20,0
Q43157,0,0,0,0,0,0,0,0,1358,1372,645,622,158,0
Q43207,0,0,0,0,0,0,0,0,261,319,119,58,35,0
Q43291,2,0,0,0,0,0,0,0,2863,2288,1322,2297,502,0
Q43321,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q43362,0,0,0,0,0,0,0,0,988,820,423,229,63,0
Q43433,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q43654,0,0,0,0,0,0,0,0,394,295,152,61,17,0
Q43704,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q43794,0,0,0,0,0,0,0,0,410,330,112,179,38,0
Q43975,0,0,0,0,0,0,0,0,143,174,88,19,1,0
Q44473,0,0,0,0,0,0,0,0,336,256,139,190,12,0
Q45269,0,0,0,0,0,0,0,0,49,95,46,6,15,0
Q45480,0,0,0,3,0,0,0,0,510,550,225,124,30,0
Q45614,0,0,0,0,0,0,0,0,413.465,399,153.134,113,33,0
Q45670,0,0,0,0,0,0,0,0,50,63,25,14,0,0
Q45826,0,1,0,0,0,0,0,0,81,140,24,41,19,0
Q45FA5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q460N3,0,0,0,0,0,0,0,0,213,201,64,96,33,0
Q460N5,0,0,0,0,0,0,0,0,416,322,152,106,45,0
Q46289,0,0,0,0,0,0,0,0,8,0,0,0,0,0
Q46845,3,0,0,0,0,0,0,0,1673,1206,659,539,136,0
Q46DA4,0,0,0,0,0,0,0,0,12,27,6,0,2,0
Q46HH0,0,0,0,0,0,0,0,0,291,284,71,50,66,0
Q46JT8,0,0,0,0,0,0,0,0,127,194,65,41,30,0
Q47690,0,0,0,0,0,0,0,0,277,197,56,24,19,0
Q47SE7,0,0,0,0,0,0,0,0,309,217,46,23,6,0
Q48082,0,0,0,0,0,0,0,0,47.298,53,21,9,7,0
Q481G0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q48436,0,0,0,0,0,0,0,0,134,95,58,17,21,0
Q48481,1,0,5,0,0,0,0,0,67,129.332,62,47,33,0
Q48841,0,0,0,0,0,0,0,0,491,450,251,85,66,0
Q494V2,0,0,0,0,0,0,0,0,226.166,314.684,81.618,36.202,19.816,0
Q495B1,0,2,1,0,0,0,0,0,54,76,41,20,20,0
Q497B8,0,0,0,0,0,0,0,0,44,51,10,8,6,0
Q498K0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Q498M4,0,0,0,0,0,0,0,0,98,84,52,5,7,0
Q49929,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q49GP3,0,0,0,0,0,0,0,0,90,83,34,40,10,0
Q49W60,0,0,0,0,0,0,0,0,1385,1095,536,808,137,0
Q49YW0,0,0,0,0,0,0,0,0,123,131,33.838,112,16,0
Q4A0Q1,0,0,0,0,0,0,0,0,381,498,155,305,23,0
Q4DJ07,0,0,0,1,0,0,0,0,2522.117,2115.93,1186,2006,260,0
Q4E123,0,0,0,0,0,0,0,0,11,12,5,3,4,0
Q4FE47,0,0,0,0,0,0,0,0,513,726,253,845,73,0
Q4FP36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q4FVL0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q4FZD7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q4FZV0,0,0,0,0,0,0,0,0,51,36,26,22,0,0
Q4G0P3,2,0,0,1,0,0,0,0,1465.002,1708,685,565,199,0
Q4G0U5,0,0,0,0,0,0,0,0,554,489,156,318,61,0
Q4G0X9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q4G338,0,0,0,0,0,0,0,0,124,140,55,31,26,0
Q4G380,11,35,10,0,11,1.109,4,5,1251.68,88.48,40,1865.98,9,0
Q4G382,0,0,0,0,0,0,0,0,4005,3304,1462,1287.001,569,0
Q4G3A4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q4G3F5,0,0,0,0,0,0,0,0,27,23,5,5,4,0
Q4G3F8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q4GZT3,0,0,0,0,0,0,0,0,2137.333,2178.446,943.608,601.372,181.221,0
Q4H2R2,0,0,0,0,0,0,0,0,760,693,354,266,79,0
Q4HVS2,0,0,0,0,0,0,0,0,46,83,48,16,3,0
Q4HWQ2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q4IA62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q4IEV5,0,0,0,0,0,0,0,0,0,7,0,0,0,0
Q4IJH1,0,0,0,0,0,0,0,0,14,19,14,8.363,4,0
Q4IJT0,0,0,0,0,0,0,0,0,16,20,2,0,3,0
Q4IN00,0,0,0,0,0,0,0,0,257,174,62,108,14,0
Q4ING3,0,0,0,1,0,0,0,0,830,883,354,563,81,0
Q4IP34,0,0,0,0,0,0,0,0,18,9,2,8,0,0
Q4JIJ3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q4K882,0,0,0,0,0,0,0,0,14,5,4,9,3,0
Q4KL91,0,0,0,0,0,0,0,0,158,232,87,17,21,0
Q4KLZ6,0,0,0,0,0,0,0,0,9,28,4,0,6,0
Q4KM30,0,0,0,0,0,0,0,0,575,444,236,238,95,0
Q4KMJ1,0,0,0,0,0,0,0,0,8,14,7,0,5,0
Q4KML2,0,0,0,0,0,0,0,0,95,104,33,12,14,0
Q4KMM3,0,1,0,0,0,0,0,0,84,84,35,0,13,0
Q4KTI3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q4KTY1,0,0,0,0,0,0,0,0,364,323,157,108,44,0
Q4L208,0,0,0,0,0,0,0,0,775.764,866.457,255.475,210,24,0
Q4L235,0,0,0,0,0,0,0,0,9,31,20,3,7,0
Q4L4T4,0,0,0,0,0,0,0,0,10,38,3,9,2,0
Q4L694,0,0,0,0,0,0,0,0,133,100,32,35,2,0
Q4L6I1,0,0,0,0,0,0,0,2,2345.657,2127.494,883.797,640.585,217.466,0
Q4L8B8,0,0,0,0,0,0,0,0,72,115,30,51,3,0
Q4L9R6,0,0,0,0,0,0,0,0,205,219,68,73,45,0
Q4LAB0,0,1,0,0,0,0,0,0,838,728,250,299,32,0
Q4LB22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q4LB23,1,0,0,0,0,0,0,0,448.885,258.723,88.942,81.844,11.145,0
Q4LDE5,2,0,0,0,0,0,0,0,1309.664,1151.844,539.633,410.629,119.938,0
Q4LDG9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q4MYZ4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q4N3P0,0,0,0,0,0,0,0,0,604.967,539.707,264.121,309.34,82.806,0
Q4N4B9,0,0,0,0,0,0,0,0,759,709,462,804,105,0
Q4N4N8,0,0,0,0,0,0,0,0,53,112,8,21,32,0
Q4N594,0,0,0,4,0,0,0,0,3755,3177.001,1423,2051,371,0
Q4N655,1,0,9,0,0,0,0,0,3629.743,3579.089,1264.344,2773.586,471.053,0
Q4P0I7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q4P2U6,0,0,0,0,0,0,0,0,165,196,186,163,36.257,0
Q4P6L3,0,0,0,0,0,0,0,0,31,28,11,10,4,0
Q4P7J4,0,0,0,0,0,0,0,0,59,53,15,17,0,0
Q4P8R9,0,0,0,0,0,0,0,0,385,243,90,187,9,0
Q4PBY6,0,0,0,0,0,0,0,0,3436.112,3051.561,1078.446,1590.386,458.007,0
Q4PDT1,0,0,0,0,0,0,0,0,2.095,0,0,0,0,0
Q4PE39,0,0,0,0,0,0,0,0,654.76,597.564,219.605,352.368,47,0
Q4PEQ5,0,0,0,0,0,0,0,0,680,596,314,161,60,0
Q4PFQ1,0,0,0,0,0,0,0,0,115,85,34,21,13,0
Q4PFV5,0,0,0,0,0,0,0,0,27.414,21.642,0,7,0,0
Q4PHU9,0,0,0,0,0,0,0,0,67,94,29,6,5,0
Q4PI88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q4PID3,0,0,0,0,0,0,0,0,3,18,0,0,0,0
Q4PIP8,0,0,0,0,0,0,0,0,152,250,115,29,25,0
Q4PJX1,0,0,0,0,0,0,0,0,677.361,533.337,192.006,265.768,26,0
Q4PR52,0,0,0,0,0,0,0,0,1077,995,390,605,117,0
Q4PRC9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q4PSE8,0,0,0,0,0,0,0,0,7,0,0,0,2,0
Q4PT07,0,0,0,0,0,0,0,0,154,146,68,54,21,0
Q4QQS3,0,0,0,0,0,0,0,0,25,18,4,2,2,0
Q4QQT3,0,0,0,0,0,0,0,0,304,253,100,101,28,0
Q4QQV7,0,0,0,0,0,0,0,0,260,199,73,124,16,0
Q4QR71,0,0,0,0,0,0,0,0,174.968,123,49,73,9,0
Q4QRJ7,0,0,0,0,0,0,0,0,3,0,6,0,0,0
Q4QRK0,0,0,0,0,0,0,0,0,409,502,232,131,74,0
Q4R3K5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q4R3U7,0,0,0,0,0,0,0,0,90,107,33,11,33,0
Q4R4I0,0,0,0,0,0,0,0,0,123,197,58,25,34,0
Q4R528,0,0,0,0,0,0,0,0,27,25,12,10,4,0
Q4R544,0,0,0,0,0,0,0,0,146,177,57,50,34,0
Q4R5T4,0,0,0,0,0,0,0,0,7,9,1,0,1,0
Q4R5V2,0,0,0,0,0,0,0,0,81,119,37,29,4,0
Q4R628,0,2,2,0,0,0,0,0,669.282,840.761,335.501,183,95,0
Q4R632,0,0,0,0,0,0,0,0,174,195,79,25,14,0
Q4R642,0,0,0,0,0,0,0,0,163.996,141.895,66.975,27.353,16.237,0
Q4R649,0,0,0,0,0,0,0,0,84.921,124.948,34.275,82.737,13.485,0
Q4R690,0,0,0,0,0,0,0,0,83,81,26,37,8,0
Q4R6F0,0,0,0,0,0,0,0,0,22,25,15,13,0,0
Q4R6N0,0,0,0,0,0,0,0,0,70,87,0,7,5,0
Q4R6T7,0,0,0,0,0,0,0,0,333,491,133,149,49,0
Q4R6V2,0,0,0,0,0,0,0,0,584,475,235,124,39,0
Q4R6X9,0,0,0,0,0,0,0,0,356,468,182,201,50,0
Q4R747,0,0,0,0,0,0,0,0,15,43,13,2,6,0
Q4R760,0,0,0,0,0,0,0,0,241,147,72,42,33,0
Q4R7D5,0,0,0,0,0,0,0,0,206,245,79,199,26,0
Q4R7L8,0,0,0,0,0,0,0,0,73,76,36,4,3,0
Q4R7R3,0,0,0,0,0,0,0,0,65.215,108.617,37.186,7.402,27,0
Q4R7S2,0,0,0,0,0,0,0,0,160,202,90.838,27.486,37,0
Q4R7T8,0,1,0,0,0,0,0,0,204,290,106,51,52,0
Q4R7Y5,0,0,0,0,0,0,0,0,99,68,46,13,0,0
Q4R803,0,0,0,0,0,0,0,0,121,199,74,8,2,0
Q4R8C7,0,0,0,0,0,0,0,0,9.937,51.809,12.477,23.316,3,0
Q4R8H2,0,0,0,0,0,0,0,0,10,24,7,0,2,0
Q4R8V4,0,0,0,0,0,0,0,0,13.236,27.543,7.525,0,0,0
Q4R8Y8,0,0,0,0,0,0,0,0,352,381,130,157,82,0
Q4S4I5,0,0,0,0,0,0,0,0,13,10,1,0,4,0
Q4U2R1,0,0,0,1,0,0,0,0,532.129,665.611,279.961,111,88,0
Q4U2V3,0,0,0,0,0,0,0,0,232,220,80,75,5,0
Q4U5R4,0,0,0,0,0,0,0,0,6,2,3,0,3,0
Q4UB86,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q4UDU8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q4ULP1,0,0,0,0,0,0,0,0,65,69,84,20,1,0
Q4ULZ2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q4UMH6,0,0,0,0,0,0,0,0,2753.022,2727,1064.736,703,313,0
Q4V339,0,0,0,0,0,0,0,0,14,21,0,0,1,0
Q4V3B8,0,0,0,0,0,0,0,0,102,76,43,42,18,0
Q4V3C7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q4V3C8,0,0,0,0,0,0,0,0,122,145,49,21,16,0
Q4V3D2,0,0,0,0,0,0,0,0,0,5.006,1,0,2,0
Q4V7B8,0,0,0,3,0,0,0,0,459.864,412.668,203.291,186,72,0
Q4V7Y7,0,0,0,0,0,0,0,0,27,72.651,22,26,14,0
Q4V832,0,0,0,0,0,0,0,0,124,87,39,42,3,0
Q4V899,0,0,0,0,0,0,0,0,160,184,88,73,22,0
Q4V8A1,0,0,0,0,0,0,0,0,25,29,3,10,2,0
Q4V8A2,0,0,0,3,0,0,0,0,140.627,97.325,40.828,26.22,8,0
Q4V8F4,0,0,0,0,0,0,0,0,8,1,1,3,0,0
Q4V8H8,0,0,0,0,0,0,0,0,114,123,23,32.446,22,0
Q4V8T0,0,0,0,0,0,0,0,0,109.236,103.655,69.171,64.068,20.54,0
Q4V8U5,0,0,0,0,0,0,0,0,1167,1051,386,328,100,0
Q4V8Y6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q4V9P0,0,0,4,0,0,0,0,0,395,305,162,204,69,0
Q4VA72,0,0,0,0,0,0,0,1,10,24,17,3,2,0
Q4VBJ9,0,0,0,0,0,0,0,0,69,101,50,37,21,0
Q4VBT5,0,0,0,0,0,0,0,0,133,168,60,37,14,0
Q4VIT4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q4VRV8,0,0,0,0,0,0,0,0,843,802,277,418,119,0
Q4VXU2,0,0,0,0,0,0,0,0,38,58,41,6,1,0
Q4W6B5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q4W8C9,0,0,0,0,0,0,0,0,15,24,11,1,2,0
Q4W9R2,0,0,0,0,0,0,0,0,18,21,9,0,3,0
Q4WAZ0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q4WB51,0,0,0,0,0,0,0,0,206.162,197.768,79.893,63.257,12,0
Q4WCR3,0,0,0,0,0,0,0,0,157,98,42,71,41,0
Q4WF54,0,0,0,0,0,0,0,0,201,237,69,26,35,0
Q4WIF3,0,0,0,0,0,0,0,0,16.984,15.53,14.421,2,4.502,0
Q4WJ02,0,0,0,0,0,0,0,0,52,36,13,13,3,0
Q4WJ59,0,0,0,0,0,0,0,0,161,183,87,22,14,0
Q4WJA1,0,0,0,0,0,0,0,0,284,192,77,120,16,0
Q4WJT7,0,0,0,0,0,0,0,0,22,48,19,6,0,0
Q4WL66,0,0,0,0,0,0,0,0,73,62,13,15.241,8,0
Q4WLG9,0,0,0,0,0,0,0,0,0,7,0,0,0,0
Q4WM08,0,0,0,0,0,0,0,0,824.399,288.253,115.888,283.999,26,0
Q4WNS8,0,0,0,0,0,0,0,0,1,4,5,2,5,0
Q4WP12,0,0,0,0,0,0,0,0,378,271,229,211,55,0
Q4WP13,1,0,2,0,0,0,0,0,387,391,148,96,31,0
Q4WRQ4,0,0,0,0,0,0,0,0,20,26,20,2,5,0
Q4WV66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q4WWN2,0,0,0,0,0,0,0,0,41,88,44,9,10,0
Q4WXT8,0,0,0,0,0,0,0,0,185,281,84,30,11,0
Q4WXX9,0,0,0,0,0,0,0,0,1518.966,1440.422,545.785,1144.18,85.339,0
Q4WY33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q4WYP6,0,0,0,0,0,0,0,0,90,71,29,19.111,14,0
Q4X084,0,0,0,0,0,0,0,0,344,463,116,175,60,0
Q4X0S7,0,0,0,0,0,0,0,0,6.562,6.377,0,1,4.531,0
Q4X251,0,0,0,0,0,0,0,0,150,155,80,54,47,0
Q4ZHA6,0,0,0,0,0,0,0,0,102,80,40,13,1,0
Q4ZWU3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q4ZXI1,0,0,0,0,0,0,0,0,5,24,3,17,1,0
Q500V9,0,0,0,0,0,0,0,0,292,247,99,82,30,0
Q501Q9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q502I6,0,0,0,0,0,0,0,0,33,22,20,2,4,0
Q502K2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q502K3,0,0,0,0,0,0,0,0,282,297.999,160,108,38,0
Q502L2,0,0,0,0,0,0,0,0,61,32,20,15,8,0
Q502L7,0,0,0,1,0,0,0,0,338,325,235,213,117,0
Q502M6,0,0,0,0,0,0,0,0,137,192,72,47,41,0
Q502W6,0,0,0,0,0,0,0,0,582.092,474.561,280.092,128.015,45.323,0
Q503I9,0,0,0,0,0,0,0,0,58,80,44,19,13,0
Q503L9,2,0,0,0,0,0,0,0,145,149,131,14,56,0
Q503R4,0,0,0,0,0,0,0,0,49,49,26,5,13,0
Q503V9,0,0,0,0,0,0,0,0,21,29,15,0,2,0
Q504Y0,0,0,0,3,0,0,0,0,853.841,531.536,286.175,363.014,44.448,0
Q50568,0,0,0,0,0,0,0,0,816,632,249,170,74,0
Q505D1,0,0,0,0,0,0,0,0,168,182,76,33,2,0
Q50631,0,0,0,0,0,0,0,0,32,32,6,19,5.463,0
Q50EK3,0,0,0,0,0,0,0,0,1105,1024,529,663,142,0
Q50KB1,4,0,2,0,0,0,0,0,5510.428,4354.228,1918.926,2235.276,443.503,4
Q50LG2,0,0,0,0,0,0,0,0,386.766,474.803,331.315,394.797,45,0
Q51080,0,0,0,0,0,0,0,0,3,13,0,13,3,0
Q51342,0,0,0,0,0,0,0,0,15,15,2,0,0,0
Q52353,0,0,0,0,0,0,0,0,297,398,201,123,41,0
Q52356,0,0,0,0,0,0,0,0,328,360,165,96,36,0
Q52828,0,0,0,0,0,0,0,0,188,198,92,33,31,0
Q52C47,0,0,0,0,0,0,0,0,72,89,30,21,20,0
Q52F10,0,0,0,0,0,0,0,0,77,78,28,35,3,0
Q52I78,0,0,0,0,0,0,0,0,1595,1384,538,390,96,0
Q52JK6,0,0,0,0,0,0,0,0,628,520,202,192,60,0
Q52KZ7,0,0,0,0,0,0,0,0,305.507,325.022,176.486,128.884,22.291,0
Q52PG9,0,0,0,0,0,0,0,0,59,66.618,64.812,21,10,0
Q52QW3,0,0,0,0,0,0,0,0,34,26,10,24,3,0
Q52T38,0,0,0,0,0,0,0,0,238.021,345.006,171.985,89.46,59,0
Q53196,0,0,0,0,0,0,0,0,97,113,48,56,16,0
Q53515,0,0,0,0,0,0,0,0,32,39,5,0,1,0
Q53685,0,0,0,0,0,0,0,0,339.939,237.224,82,192,12,0
Q53816,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q53877,0,0,0,0,0,0,0,0,68,100,32,11,10,0
Q53902,0,0,0,0,0,0,0,0,19,8,9,0,0,0
Q53B88,0,0,0,0,0,0,0,0,46,76,38,8,13,0
Q53GD3,0,0,0,0,0,0,0,0,21.493,10.971,5.34,5,0,0
Q53GS9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q53HC5,0,0,0,0,0,0,0,0,40,29,16,12,4,0
Q53P85,0,0,0,0,0,0,0,0,542,622,214,239.018,92,0
Q53RE8,0,0,0,0,0,0,0,0,24,47,14,3,4,0
Q53RJ5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q53RK8,0,0,0,0,0,3,0,0,420.105,363,129,94,46,0
Q54271,0,0,0,0,0,0,0,0,103,132,55,4,17,0
Q54AX6,0,0,0,0,0,0,0,0,31,35,13,5,5,0
Q54B10,0,0,0,0,0,0,0,0,3.312,0,0,0,0,0
Q54B20,0,0,0,0,0,0,0,0,129,121,26,19,28,0
Q54B67,0,0,0,0,0,0,0,0,9.865,6.147,5.549,0,1.028,0
Q54BA2,0,0,0,0,0,0,0,0,114.656,141.834,54.971,21.044,16,0
Q54BC8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q54BC9,0,0,4,0,0,0,0,0,352,325,126,65,33,0
Q54BF6,0,0,0,0,0,0,0,0,3415.267,3262,1371,1446,344,0
Q54BI3,0,0,0,0,0,0,0,0,53,75,25,11,9,0
Q54BM8,0,0,0,0,0,2,0,0,686.66,719.536,334.109,321,82,0
Q54BT3,0,0,0,0,0,0,0,0,10,4,12,0,0,0
Q54BU4,0,0,0,0,0,0,0,0,238.324,203.956,75,90,32,0
Q54BW5,0,0,0,0,0,0,0,0,557,496,251,215,39,0
Q54BW6,0,0,0,0,0,0,0,0,183,223,97,45,23,0
Q54C32,0,0,0,0,0,0,0,0,3813.799,3497.487,1356.747,3337.163,261,0
Q54C49,0,0,0,0,0,0,0,0,242,260,111,47,3,0
Q54C64,0,0,0,0,0,0,0,0,13,3,10,7,8,0
Q54C92,0,0,0,0,0,0,0,0,86,87,30,16,15,0
Q54C94,0,0,0,0,0,0,0,0,50,83,30,5,4,0
Q54CE0,0,0,0,0,0,0,0,0,140,126,51,85,36,0
Q54CJ3,0,0,0,0,0,0,0,0,0,0,4,0,0,0
