Entry,M_d1_C,M_d3_C,M_d6_C,O_d1_C,O_d3_C,O_d6_C,O_d7_C,O_d8_C,Past_d1_C,Past_d2_C,Past_d3_C,Past_d6_C,Past_d7_C,Pstr_d7_C
O34539,724.128,1160.459,758.477,649.981,1315.442,1325.795,1872.405,916.604,41,38,0,35,1.5,0
O34586,2,11,6,3,1,1,1,1,0,0,0,0,0,0
O34592,230,347,201,124,289,446,261,378,0,0,0,0,0,0
O34598,1,3,3,0,0,0,0,0,0,0,0,0,0,0
O34627,25,35,7,15,11,5,1,9,0,0,2,0,2,0
O34653,0,0,0,0,0,4,0,4,0,0,0,0,0,0
O34662,0,1,0,0,1,0,0,0,0,0,0,0,0,0
O34673,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O34693,23,11,31,0,0,0,0,0,0,0,0,0,0,0
O34714,0,3,0,1,5,4,8,1,0,1,0,0,0,0
O34748,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O34750,3,4,6,33,12,38,16,32,0,0,0,0,0,0
O34767,2,1,3,5,0,2,0,0,0,0,0,0,0,0
O34812,131.22,333.454,130.18,269.804,740.699,887.945,535.967,925.544,0,0,0,0,0,0
O34940,55,63,84,12,20.392,12.718,5,31.739,0,0,0,0,0,0
O34969,0,0,0,1,12,0,0,0,0,0,0,0,0,0
O34987,2,1,2,3,11,5,1,4,0,0,0,0,0,0
O35071,1,0,3,1,0,3,6,2,0,0,0,0,0,0
O35219,1,1,0,0,1,0,0,5,0,0,0,0,0,0
O35231,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O35239,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O35244,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O35350,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O35379,0,8,1,0,3,1,0,4,0,0,0,0,0,0
O35435,5,0,0,10,4,22,2,13,0,0,0,0,0,0
O35454,0,0,0,0,0,1,0,7,0,0,0,0,0,0
O35459,0,0,0,0,0,0,0,1,0,0,0,0,0,0
O35505,320.446,455.559,241.939,369.845,1004.794,1019.871,833.545,1183.954,0,0,0,0,0,0
O35594,1,3,1,1,0,0,1,0,0,0,0,0,0,0
O35638,0,0,2,0,0,1,0,0,0,0,0,0,0,0
O35648,3,0,3,2,4,3,0,3,0,0,0,0,0,0
O35660,68,80,89,89,120,115,104,92,0,0,0,0,0,0
O35678,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O35701,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O35709,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O35723,0,0,0,0,0,0,0,0,0,0,0,0,0,0
