Entry,USVI_118_A,UVI_092_B,UVI_094_B,UVI_096_B,UVI_108_B,UVI_132_B,UVI_092_C,UVI_094_C,UVI_100_C,UVI_102_C,UVI_104_C,UVI_106_C,UVI_108_C,USVI_118_C,UVI_132_C,UVI_136_C,UVI_138_C,UVI_106_D,M_d6_A,Past_d1_A,Past_d2_A,Past_d3_A,Past_d6_A,Past_d7_A,M_d6_B,O_d1_B,O_d3_B,O_d6_B,O_d7_B,O_d8_B,Past_d7_B,Pstr_d7_B,M_d1_C,M_d3_C,M_d6_C,O_d1_C,O_d3_C,O_d6_C,O_d7_C,O_d8_C
A0A2U8QPE6,7,5,10,31,0,0,1,0,0,1,0,4,0,2,4,1,0,3,0,71,80,33,35,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
A0A2Z4HPZ8,11,61,28,92,0,0,0,0,0,0,0,0,1,0,9,0,3,0,0,15,37,14,0,6,0,0,0,0,0,0,0,13,20,24,31,0,0,0,0,0
A0A3S5YBC7,7,118,102,396.026,1,0,0,1,0,9,0,2,3,6,109,74,49,36.772,0,28.005,46,9,9,6,0,0,0,0,0,0,0,10,42,55,39,2,0,7,5,8
A0A411EW25,42,41,21,101,0,0,0,0,3,37,4.003,7,17,2,3,0,3,0,0,215,210,93,48,23,0,0,0,0,0,0,0,8,1,0,0,0,1,0,0,0
A0A411PQP8,77,50,41,74,2,0,0,1,0,4,2,2,4,2,7,1,1,0,2,134,194,55,36,49,0,0,0,0,0,0,0,0,2,5,4,2,9,0,3,3
A0A482NAR8,19,2,0,0,0,0,0,0,0,0,0,1,0,0,32,2,25,1,0,46,81,26,0,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0
A0A4V8H042,26,26,34,90,1,0,7,5,12,33,38,86,78,15,105,108,48,4,0,77,113,54,9,9,0,0,0,0,0,0,0,0,65.998,73,61,42,133,91,78,87
A0A4X1TZW7,16,37,32,147,0,0,39,37,78,156.997,135,235,246,1,177,111,79,7,0,172,169,87,51,18,0,0,0,0,0,0,0,5,376,363,333,410,571,554,259,689
A0A4Y1YQ38,2775.179,1252.195,684.911,1417.954,44,0,356.78,577.072,211.107,720.143,540.654,907.253,905.07,47.703,2917.984,1246.352,1325.689,152.481,6,13896.559,12719.036,4576.853,10078.619,1122.611,0,0,0,0,0,0,0,266.109,1840.547,2993.923,2247.288,5331.617,9050.226,9977.745,10893.897,6098.823
A0A4Y1YTM1,1716.002,1699,1113,2481.001,49,19,381.999,507,298,1068,825.001,985.002,1153,31.001,1763.001,1034.001,1045,261.001,0,9847.074,9584,3371,6394,1008,10,1695,2607,1985,2370,1342,0,363,2508,3320,3078.001,6188.955,11241,9815.001,11215,6410.999
A0A509ADH4,55,110,67,172,4,0,2,0,5,1,9,11,11,8,13,7,2,11,0,234,157,75,140,16,0,0,0,0,0,0,0,32,124,195,211,2,12,0,0,9
A0A509AFG4,36.852,17,17,42,3,0,1,8,21,36,28,28,24,3,42,34,40,5,0,196,193,76,47,9,0,0,0,0,0,0,0,0,4,5,4,22,39,69,13,99
A0A509AHB6,246.33,258,256,527,9,0,2,7,23,128.37,30,147.736,112.744,5,61.508,18.307,17,11,0,1257.849,1110.391,366.964,318,81.583,0,0,0,0,0,0,0,58,91.889,65.352,88,14,14.744,37,8,24.842
A0A509AI82,64,204.941,167.88,536.117,8,0,26,14,1,10,4,19,2,19,482,328,212,2,0,233,268.684,118.486,58,39,0,0,0,0,0,0,0,55,89,101,80,185,274,302,173,221
A0A509AKL0,96,80.242,56.2,149.625,6,0,18,35,35,262,83,162,229,5,149,90,53,1,1,372,525,209,100,53,0,0,0,0,0,0,0,13,255,249,181,151,290.999,328,129,515
A0A509ALV6,107,69,32.683,123.495,0,0,0,0,7,28.003,41,32,17,0,13,0,2,11,0,462,476,160,119,41,0,0,0,0,0,0,0,13,3,6,8,5,13,21,12,41
A0A509AQE6,364.994,70.965,76.54,185,1,0,14,9,7,27,12,37,23.133,7,48,33,18,27.789,9,1484.069,1667.714,610,866,187.266,0,0,0,0,0,0,0,7,31,37,19,56.334,126,48.806,46,130
A0A5K1K8H0,249,141,155,257,0,0,2,4,17,67,3,107,86,16,68,25,16,17,3,1188,1166,647,316,157,0,0,0,0,0,0,0,22,12,44,33,10,15,10,7,31
A0BD92,0,20,11,36,0,0,0,1,2,4,1,8,3,0,32,24,8,18,0,0,5.787,0,0,0,0,0,0,0,0,0,0,0,14,28,24,2,34,16,0,49
A0BQL0,114,122,77,181,0,0,54,125,136,514,277,492,503,4,567,307,243,10,0,427,409,117.911,80,42,0,0,0,0,0,0,0,16,1000,1332,1153,994,1464,1715,972,1672
A0CUB5,16,51,24.839,118,3,0,23,29,7,8,3,12,8,5,363,187,194,1,0,100,90.007,78,23,19,0,0,0,0,0,0,0,17,0,0,0,298.13,513,352,265,340
A0DSB3,111.48,29,20,42,1,0,3,0,3,1,8,0,3,0,30,19,19,5,0,381,389,123.089,96,70,0,0,0,0,0,0,0,11,36,40,43,7,18,8,1,19
A0FGR9,84,153,146,382.753,4,0,0,9,3,11,10,7,10,0,55,21.018,23,0,0,205,233,52,19,48,0,0,0,0,0,0,0,13,7,20,8,11,54,9,18,54
A0JM23,74,71,56,166,3,0,0,0,1,2,0,7,0,1,10,2,6,9,0,256.832,249,144,65,17,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0
A0JM56,1,18,10,37,2,0,0,0,3,0,16,17,14,4,0,2,2,0,0,18,29,24,0,2,0,0,0,0,0,0,0,13,0,0,0,0,2,2,0,0
A0JMG9,108.165,142,88,224,7,0,2,2,0,3,2,3,1,6,159,78,60,1,0,618.848,470.29,203.756,241.493,49.64,0,0,0,0,0,0,0,35,69,87,47,3,0,2,3,6
A0JMH2,6,30,20,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,10,6,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
A0JMW2,163,78,72,183,4,0,1,8,4,24,22,22,39,8,100,55,55,10,0,690,631,234,201,59,0,0,0,0,0,0,0,0,1,4,1,29,72,93,55,105.001
A0JPI9,195.159,49,40,180,4,0,0,7,0,4,1,2,2,1,29,15,13,1,0,984.868,767.273,340.343,313.249,73.814,0,0,0,0,0,0,0,22,13,19,6,1,2,2,4,6
A0MQA3,163,206,184,426,5,0,0,1,2,6,1,2,12,1,106,53,44,15,1,622,512.994,322,140,40,0,0,0,0,0,0,0,26,143,183,143,0,0,1,0,1
A0PGB3,730,881,522.541,1282.981,91,143,97,182,244,634,452,692,731.982,19,1032,479,436,67,0,2759.001,2423,876,1288,295,0,0,0,0,0,0,0,168,1477,1616,1491,1529,2753,2054,2371,1481
A0PQ21,145,32,18,51,3,1,21,55,49,165,61,134,160,1,7,1,1,0,0,535,600,269,285,73,0,0,0,0,0,0,0,8,456,531.999,486,422,680,670,521,791
A0QP18,362.558,156,90,226.511,13,0,1,0,0,0,2,9,1,0,55,24,8,5,0,1570.86,1172.391,391.949,709.804,55.857,0,0,0,0,0,0,0,39,2,1,4,0,1,0,0,11
A0QV09,10,48,36,59,1,0,0,0,1,3,0,0,3,2,30,10,0,4,0,23.3,26.856,12.931,15,9,0,0,0,0,0,0,0,25,11,0,3,6,3,7,2,6
A0T0C6,1434,980,464.484,1269,29,2,355,524,485,614.999,918.001,1364,1373.019,47,2799.024,1632.999,1269,18.789,0,5454,5182,2345,3409,946,0,0,0,0,0,0,0,245,7637,9081.747,7704.163,6991,11553,10107.001,10656.001,7170.001
A0T0T7,808.048,1375,2107,1133.003,2430,2522,100,182,224,262,139,596,395,6,780,149,162,75,0,2053.251,97.006,9,1018.242,8,498,264,647,2952,486,748,0,0,306,1064,253,48,145,559,125,156
A0T2M3,159.217,277,201,482,26,2,2,5,0,7,1,22,4,3,24,11,10,7,1,1038.954,942.585,307.2,406.166,132.003,0,0,0,0,0,0,0,18,4,0,1,77,182,133,75,113
A1A6H3,7,29,7,26,2,0,0,0,1,5,3,5,1,1,8,0,1,1,0,15,38,20,6,2,0,0,0,0,0,0,0,19,6,8,8,1,5,1,0,0
A1CRV0,38,18,13,39,0,0,3,2,3,37,13,18,42,5,59,31,29,8,0,172,129,52,60,2,0,0,0,0,0,0,0,0,16,56,14,2,3,5,10,11
A1L1P9,53,81,52,168,0,0,2,1,0,53,2,12,16,3,27,8,5,9.591,0,112,155,63,8,26,0,0,0,0,0,0,0,20,10,25,22,13,31,26,21,45
A1L4X0,4,116,51,177,3,0,2,0,1,12,4,8,13,2,4,1,3,0,0,28.883,21,1,0,4,0,0,0,0,0,0,0,11,0,3,3,0,3,0,0,6
A1S1Z8,34.218,8,5,161,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,98,106,63,18,26,0,0,0,0,0,0,0,4,3,0,2,0,5,0,1,5
A1VC40,4,16,7,16,0,0,0,0,0,0,0,3,0,0,0,0,0,12,0,15,13,6,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
A1VYV7,0,35.401,31.146,92.181,0,0,5.79,32.6,18.041,83.225,36.341,56.668,93.171,0,39.178,13.583,4.945,44.304,0,1.37,7.931,3.178,25.21,0,0,0,0,0,0,0,0,20.273,0,0,0,42.118,128.858,221.786,169.383,141.328
A1WX30,123,135,86,215,1,1,0,9,4,12,7,10,9,7,23,20,13,13,0,417.342,470,217,72,69,0,0,0,0,0,0,0,45,3,4,11,9,8,18,8,5
A1Z9G2,97,0,2.151,0,2.785,0,17,31,0,3,0,3,0,0,1,5,3,5,3,402,536,294,108,69,0,0,0,0,0,0,0,0,51,49,56,361,439,596,488,660
A2ASI5,54.859,31,40,61,0,0,0,1,1,0,0,1,2,0,0,0,0,1.5,0,110,163,51,64.118,6,0,0,0,0,0,0,0,23,0,0,0,0,0,0,4,2.556
A2ASS6,151.51,224.325,128.034,652.97,5,0,15,12,32,164,54,139,152,1,27,5,12,24,0,706.559,721.283,346.229,182.991,54.285,0,0,0,0,0,0,0,100,21,24,15,28,94,177,91,169
A2AVA0,104,462.614,369.77,1045.996,20.233,1,175,228,49,191,82,65,77,20,138,64,56,23,0,606,404,147,94,31,0,0,0,0,0,0,0,98.2,51,54,31,2128,3157,3627.513,1544,3843
A2BFC9,102,175,107,77,6,0,66.983,137,2,16,4,26,10,2,175.099,99.28,72.176,2,0,380,448.46,146,170,73,0,0,0,0,0,0,0,29,5,5,7,659.093,1085,862,591,990
A2Q8F7,4,60,33,99,2,0,0,1,0,3,4,7,15,1,1,0,0,0,0,11,3,14,16,0,0,0,0,0,0,0,0,35,0,0,0,2,15,36,16,32
A2VDD2,61.944,87,73.188,86.355,0,0,2,0,1,0,0,8,1,1,135,90,72,0,0,206,159,80,125,34,0,0,0,0,0,0,0,14,3,0,0,0,0,1,0,1
A2VDR2,50,136,102,195,3,0,22,25,2,7,2,16,1,2,1,3,0,8,0,144,165,68.09,31,22,0,0,0,0,0,0,0,17,0,0,0,0,1,0,0,3
A2VE52,14,37,69,123,0,0,0,0,0,0,0,0,0,0,8,0,3,2,0,43,48,30,4,11,0,0,0,0,0,0,0,19,0,0,2,0,0,0,0,1
A2WY46,1320.797,47.066,20,106,0,0,0,0,0,0,0,2,0,0,0,2,0,7,1,3781.547,3364.141,1612.039,4460.778,263.533,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
A2Y9M4,99,105,88,147,4,0,0,0,0,1,3,7,4,2,3,0,0,2,0,399,237,138,154,54,0,0,0,0,0,0,0,34,3,9,6,2,0,1,0,7
A2YZ24,7,21.004,17,35,1,0,0,0,0,0,0,6,0,0,0,3,0,1,0,22,42,5,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
A2ZVI7,164.513,56,57,139,3,0,1,4,9,21,25,18,3,4,38,20,27,0,0,688.057,743.996,390.995,258,99,0,0,0,0,0,0,0,13,42,38,36,17,14,10,14,13
A3AYR1,68,68,31,123,5,0,0,0,0,0,4,0,1,0,3,4,0,5,0,223.994,233,83,78,33,0,0,0,0,0,0,0,2,27,23,33.989,4,3,6,0,5
A3E4D8,1623.867,2313.274,1696,2891.801,379,1839,2,0,0,0,0,0,0,0,20,16,6,106,4,5844,5422,2447,3754.001,1116,2219,3655,4970,4055,5484,2386,2,287,0,0,0,0,0,0,0,0
A3KFU9,26,53,74,255,0,0,0,2,0,8,1,9,7,5,39,6,8,14.139,0,116,164,73,8,13,0,0,0,0,0,0,0,23,6,10,6,13,15,51,10,33
A3KMH1,25,15,17,48,1,0,17,39,26,112,63,56,99,3,57.635,20,27,0,0,45,72,25,13,4,0,0,0,0,0,0,0,4,150,250,252,294,375,253,88,389
A3KPE8,26,125,144,229,2,0,17,9,37,48,53,84,111,0,139.62,56,39,4,0,120,130,58,21,16,0,0,0,0,0,0,0,14,152,142,194,240,315,355,213,233
A3KPP3,43,71,48,93,0,0,0,0,15,28,16,40,43,0,1,0,0,21,0,153,135,67,85,19,0,0,0,0,0,0,0,15,0,0,1,0,0,3,2,0
A3LSY7,394,24.033,25.823,52.233,1,0,0,0,0,0,0,5,0,0,0,0,0,5,0,1665,1469,618,519,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3LSZ2,112,20,27,53,0,0,0,0,0,0,0,0,0,1,1,0,0,5,0,303,264,75,81,32,0,0,0,0,0,0,0,14,0,2,0,2,2,0,1,2
A3RCV9,2,36,17,38,4,0,5,6,2,5,3,23,5,3,44,4,17,1,0,16,44,7,0,1,0,0,0,0,0,0,0,6,5,0,9,57,100,66,51,83
A4FV84,55,42,37,99,4,0,0,0,1,1,2,12,4,0,4,1,0,0,0,139,145,43,71,37,0,0,0,0,0,0,0,0,1,5,3,2,11,1,9,3
A4IFF3,19,86,57,148,1,0,6,3,1,1,3,6,0,1,0,0,0,0,0,95,66,21,20,3,0,0,0,0,0,0,0,10,0,0,1,1,0,1,0,1
A4IG53,4,58,43,78,0,0,0,0,1,2,6,3,1,0,0,2,1,6,0,6,10,9,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0
A4IG72,8,3,8,8,0,0,0,0,6,34,8,22,23,1,13,6,2,2,0,66,55,37,2,4,0,0,0,0,0,0,0,0,6,5,1,0,0,0,0,1
A4IH82,116,80,68,153,3,0,0,0,0,0,0,2,0,0,0,0,0,6,0,695,533,218,371,61,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
A4IHR1,31,74.584,57.493,151.067,0,1,7,20,0,9,3,8,8,2,58,14,14,7,0,164,199,99,46,11,0,0,0,0,0,0,0,8.77,3,1,1,134,228,245.216,180,211
A4II73,7,76,67,124,0,0,51,57.001,135,261.999,222,363,422,7,721,575.999,471.001,11,0,18,37,26,4,4,0,0,0,0,0,0,0,7,643.999,816,642,1078,1780,1895,1130,1366.999
A4III8,0,24,21,95,1,0,0,0,0,1,4,6,3,12,27,2,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,2,4,5,4,3,7
A4IIS8,23,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,49,31,32,2,0,0,0,0,0,0,0,5,0,1,1,0,0,0,0,0
A4Q9F3,91.838,32,13,35,1,0,0,4,1,2,1,4,4,1,133,82,56,0,0,307.29,320.468,133.01,116.316,62.613,0,0,0,0,0,0,0,0,7,6,6,4,7,2,2,9
A4R606,51.427,81,46,157,2,0,0,0,31.035,37.602,29.3,7.105,51.705,5,6,0,0,7,0,203,284.01,144,67,28,0,0,0,0,0,0,0,16,10.453,17,0,0,0,2.658,0,14.851
A4TE41,34,73,49,130,1,0,0,3,12,16,4,6,12,3,2,2,0,3,0,123,140,55,29,28,0,0,0,0,0,0,0,3,15,20,21,8,9,5,0,3
A4YGN0,5,13,0,8,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,9,8,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
A4YI89,94,277,164,373,8,0,0,0,116,419,219,368.052,323,5,48,7,24,3,0,188,226,111,53,40,0,0,0,0,0,0,0,49,1,0,0,4,2,1,8,0
A5CQ46,43,46,24,48,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,92,85,35,30,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
A5D9W7,98,8,13,26,1,0,10,22,15,32,5,37,43,30,14.998,7,6,0,0,308,228,82,108,65,0,0,0,0,0,0,0,0,241,377,267,289,476,442,497,309
A5K0N4,207,79,58.798,227.641,1,0,6,10,20,85.149,29,42,52,1,98,26,42,2,36.167,1023.848,1108,423.035,187.953,101,0,0,0,0,0,0,0,9,77,80,69,8,8,16,4,19
A5PK19,46,31,27,77,0,0,0,3,3,21,12,11,26,0,97,64,38,2,0,85,165,45,34,29,0,0,0,0,0,0,0,7,1,6,2,28,46,33,12,37
A5PK71,134,172,175,361,12,0,48,79,13,82,48,22,12,11,76,41,41,9,0,655,723,335.971,185,90,0,0,0,0,0,0,0,32,57,75.215,41,625,1396,1190,965,1296
A5PMF6,54,21,13,26,0,0,1,0,0,10,3,2,3,0,5,0,0,1,1,158.987,198,122,40,20,0,0,0,0,0,0,0,4,2,1,0,0,6,1,12,14
A5PMU4,75,76,45,111.993,5,0,3,3,0,20,17.428,16,34.252,0,27.648,19.842,23.161,3,0,268.996,261,121.408,143,19,0,0,0,0,0,0,0,5,19.59,14.055,30.217,34.586,30.362,52.923,27,60.712
A5WVX1,22,30,4,32,0,0,4,8,10,9,34,26,51,0,82,59,39,0,0,80,91,39,26,5,0,0,0,0,0,0,0,4,60,45,111,97,170,112,62,118
A5WVX9,1,80.164,69,183.772,6,0,14,14,34,150,45,105,168,0,138,106,56,11,0,12,4,0,0,0,0,0,0,0,0,0,0,7,243,340,255,190,388,451,162,534
A6H6A9,23,7,4,23,0,0,0,0,3,4,0,1,0,1,12,1,6,0,0,107,190,67,46,12,0,0,0,0,0,0,0,2,8,16,3,0,2,4,1,5
A6H759,36,61,49,114,0,0,4,0,9,0,32,15,0,0,1.004,1,0,0,0,228,314,111,72,41,0,0,0,0,0,0,0,14,2,0,1,0,0,0,2,2
A6H8H5,18,10,5,22.66,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,86,93,33,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A6LAP3,2,73,41,90,1,0,3,2,2,0,0,2,0,0,36,24,10,0,0,33,53,19,12,2,0,0,0,0,0,0,0,18,32,34,18,37,40,30,40,59
A6MVW9,203.021,372,282,796,19,2,51,105,7,11,20,35,26,11,483,266,200,11,0,851.654,832.174,346.654,430.848,98,0,0,0,0,0,2,0,17,383,524,410,758,2218,1788,1396,1856
A6MVX9,62.418,42,34,110,1,0,0,0,2,2,1,0,1,2,5,0,0,5,0,255.405,293.784,96.439,97.805,18.697,0,0,0,0,0,0,0,3,1,2,0,1,1,2,0,0
A6N6J5,193,111,115,311,7,0,7,2,165.746,677.579,292.402,533.996,738.062,0,8.817,4,1.106,7,0,515,506,224,113,29,0,0,0,0,0,0,0,12,0,3.411,19.481,84.557,120.136,115.864,35,91.55
A6P3B2,15.001,29,26,101,1,0,0,2,0,0,0,7,1,0,25,9,28,11,0,154.354,144.215,48,121.997,10.42,0,0,0,4,0,2,0,14,4,13,4,2,1,13,7,30
A6QP05,62.989,104,96,235,1,0,1,4,0,0,1,1,3,1,8,4,12,13,0,179,189,94.389,56.824,22,0,0,0,0,0,0,0,18,18,32,5,5,0,4,0,0
A6TEB3,21,91,42,69,3,2,4,13,0,13,5,16,8,0,12,7,2,0,0,51,95,33,10,11,0,0,0,0,0,0,0,27,9,14,19,73,93,86,58,53
A6VMR4,18.78,8,0,5,0,0,0,3,2,4,3,10,1,1,0,0,2,0,0,62,64,34,8,9,0,0,0,0,0,0,0,0,12,6,6,10,31,6,7,9
A6X7E7,85.953,15,4,28,0,0,0,0,1,9,0,0,1,0,6,3,0,0,0,328,296.309,95.004,147,45,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,7
A7E2V1,129,103.691,76,215.741,8.223,0,0,0,0,7,3,2,0,6,24,3,4,2,0,511,547,239,52,45,0,0,0,0,0,0,0,36,4,1,16,1,5,1,5,1
A7LXS9,12,50,51,122,0,0,0,0,0,0,0,6,2,0,0,0,0,3,0,49,54,37,10,4,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1
A7MBI7,18,93,62.015,147,0,0,5,5,3,7,14,5,5,2,23,4,8,6,0,65,55,16,15,1,0,0,0,0,0,0,0,43,52,40,49,51,63,29,52,27
A7MBP4,70,41,47,99,12,0,0,0,0,0,0,0,0,0,0,0,0,7,0,272,217,91,111,29,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
A7PZL3,0,37,70,128,4,0,0,0,0,2,1,1,1,0,6,7,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,14,0,2,0,0,0,0,19,7
A7RK30,7,1,5,3,1,0,42,76,63,246.065,135,225,308,0,214.842,127.982,140,4,0,53.987,61,32,16,14,0,0,0,0,0,0,0,0,407,463,399,771,952,658,534,735
A7SDW5,54,51,44,112,2,0,0,1,1,0,0,0,0,25,733,237,660,6,0,315,338,143,77,32,0,0,0,0,0,0,0,0,19,29,23,4,2,3,1,4
A7SE05,5,2,8,18,0,0,1,0,0,3,9,3,10,0,17,16,20,0,0,30,71,23,10,11,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,6
A7SWH1,45,56,57,157,0,0,0,1,0,0,0,5,1,1,31,20,10,6,0,121,212,72,15,37,0,0,0,0,0,0,0,4,1,0,3,12,11,2,7,7
A7WM73,2,20,17,67,0,0,0,0,1,3,2,0,2,6,8,3,3,1,0,9,13,12,6,0,0,0,0,0,0,0,0,12,23,49,19,0,1,0,0,0
A7YY53,99,59,55,120,0,0,0,0,0,0,0,1,0,1,6,5,3,26,0,363,321,127,242,52,0,0,0,0,0,0,0,9,1,1,1,2,5,0,0,1
A7Z061,47,36,25,68,0,0,15,20,0,0,0,1,0,2,18,1,6,2,0,150.995,109,51,15,23,0,0,0,0,0,0,0,16,0,0,0,152,275,134,83,201
A7Z4X7,22,18,7,11,0,0,0,0,0,0,1,5,3,0,4,11,0,0,0,38,51,14,14,8,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,5
A8CVX7,4,6,4,30,0,0,0,0,0,0,0,7,2,0,0,0,0,3,0,37,55,27,8,4,0,0,0,0,0,0,0,1,10,1,4,0,3,0,0,0
A8GG79,72,241,175,319,3,0,0,0,0,11,19,15,2,0,53,29,19,2,0,421,450,173,81,23.777,0,0,0,0,0,0,0,41,3,9,2,2,28,0,0,15
