Entry,UVI_092_B,UVI_094_B,UVI_096_B,UVI_100_B,UVI_102_B,UVI_104_B,UVI_106_B,UVI_108_B,USVI_118_B,UVI_132_B,UVI_136_B,UVI_138_B
Q9C3Z5,105.19,68.292,221.933,0,0,2,0,3,0,0,0,0
Q9C4M5,53.183,22,59,0,0,1,0,0,0,0,0,0
Q9C505,467.691,259.622,775.091,0,8,4,0,13.432,0,2,0,0
Q9C512,89,69,192,0,0,0,0,3,0,0,0,0
Q9C514,741,454,1092,0,6,1,4,20,3,4,0,0
Q9C521,176,113,320,2,0,3,0,4,0,0,0,0
Q9C551,295,128,315,1,0,1,4,6,0,1,0,0
Q9C554,663,501,1018,1,1,0,0,21,3,1,0,0
Q9C566,106,95,117,0,2,0,1,0,0,0,0,0
Q9C5C4,16,21,61,0,4,0,0,5,0,0,0,0
Q9C5D2,76,58,174,0,1,0,0,0,0,0,0,0
Q9C5D6,7,2,9,0,0,0,0,0,0,0,0,0
Q9C5E7,49,45,115,0,0,0,0,1,0,0,0,0
Q9C5I1,4,1,4,0,0,0,0,0,0,0,0,0
Q9C5J3,76,46,141,0,0,0,0,0,0,0,0,0
Q9C5J6,1,0,1,0,0,0,0,0,0,0,0,0
Q9C5M0,73,70,172,0,0,0,2,8,0,0,0,0
Q9C5S1,28,14,60,0,0,0,0,2,0,0,0,0
Q9C5U3,158,96,256,0,0,0,0,3,1,0,0,0
Q9C5W3,66,51,163,1,3,1,0,6,0,0,0,0
Q9C5W6,65,35,115,0,0,0,0,0,1,0,0,0
Q9C5X3,50,32,92,0,0,0,0,4,0,0,0,0
Q9C5Y4,171.556,106.786,376.412,0,0,0,0,5,0,0,0,0
Q9C5Z2,15,10,31,0,4,0,0,1,0,0,0,0
Q9C641,162,92,302,0,1,0,0,1,1,0,0,0
Q9C652,51.994,26,88.439,0,0,0,1,0,0,0,0,0
Q9C658,46,50,122.836,0,0,0,3,0,0,0,0,0
Q9C671,47,25,92,0,0,0,0,0,0,0,0,0
Q9C6B9,17,21,40,0,0,0,0,0,0,0,0,0
Q9C6D3,148.121,140.981,362.339,0,0,0,4,11,1,0,0,0
Q9C6G0,1,0,13,0,0,0,0,0,0,0,0,0
Q9C6I8,44,35,159,1,0,0,0,0,0,1,0,0
Q9C6P3,215,201,486,0,0,1,1,6,0,0,0,0
Q9C6S1,36,27,59,0,0,1,0,4,1,1,0,0
Q9C6S5,9,20,36,0,0,0,0,9,0,0,0,0
Q9C718,75.632,17,144,0,0,0,0,1,0,0,0,0
Q9C788,58,50,131,0,0,0,0,2,0,0,0,0
Q9C7I1,83,57,77,0,1,0,0,4,0,0,0,0
Q9C7T7,48,33,55,0,0,0,0,0,0,0,1,0
Q9C813,0,0,2,0,0,0,0,0,0,0,0,0
Q9C821,14,12,26,0,0,0,0,0,0,0,0,0
Q9C889,76,38,101,0,0,0,0,4,0,0,0,0
Q9C8H1,244.169,161,403.474,1,0,0,0,1,2,0,0,0
Q9C8J2,39,19,38,0,0,0,0,0,0,0,0,0
Q9C8J6,23,17,66,0,1,0,0,0,0,0,0,0
Q9C8K7,109,124,239,0,0,0,1,2,0,0,0,0
Q9C8M1,360,239.737,679.605,0,8,0,0,16,0,0,0,0
Q9C8T7,3,1,1,0,0,0,0,0,0,0,0,0
Q9C8Z4,10,26,68,0,0,0,0,1,1,0,0,0
Q9C912,642,311,643.056,61,198,152,137,179,8,368,169,157
Q9C942,84,90,190,0,0,0,1,1,0,0,0,0
Q9C969,24,8,44,0,0,0,0,0,0,0,0,0
Q9C998,0,0,0,0,0,0,0,0,0,0,0,0
Q9C9G4,68,22,33,0,0,0,0,3,0,0,0,0
Q9C9K3,2,6,18,0,0,0,0,0,0,0,0,0
Q9C9K5,25,16,66,0,3,0,0,0,0,0,0,0
Q9C9Q4,38,42,63.669,0,0,0,0,0,0,0,0,0
Q9C9U0,6,3,5,0,0,0,0,0,0,0,0,0
Q9C9U1,0,0,0,0,0,0,0,0,0,0,0,0
Q9C9U5,56,33,90,0,3,0,0,3,0,0,0,0
Q9C9Z1,19,21,57,0,0,0,0,0,1,0,0,0
Q9C9Z9,158,103,215,0,0,0,0,1,2,0,0,0
Q9CA40,20,13,32,0,0,0,0,0,0,0,0,0
Q9CA67,415.897,197.237,542.554,0,0,0,0,20,2.037,0,0,0
Q9CAD5,39,34,153,1,0,0,0,7,0,0,0,0
Q9CAD6,43,27,83,0,1,0,0,0,0,1,0,0
