Entry,UVI_092_C,UVI_094_C,UVI_096_C,UVI_100_C,UVI_102_C,UVI_104_C,UVI_106_C,UVI_108_C,USVI_118_C,UVI_132_C,UVI_136_C,UVI_138_C
P40137,0,0,0,0,0,0,13,0,3,3,2,0
P40138,0,0,0,0,0,0,2,0,0,0,0,0
P40170,0,0,0,0,0,0,0,0,0,0,1,0
P40222,0,0,0,0,0,0,1,0,0,1,1,0
P40228,0,0,0,0,1,0,1,6,1,1,0,0
P40233,0,0,0,0,0,0,0,0,0,0,0,0
P40282,0,1,0,0,1,0,1,0,14,8,5,4
P40287,0,2,0,23,111,64,59,110,0,66,34,30
P40292,11.4,36.212,26,19,98,24.774,82.862,85.815,0,2.058,0,0
P40318,4,0,0,2,12,6,23,16,3,94,45,38
P40358,0,6,0,15,49,43,47,74,0,0,0,0
P40371,0,0,0,0,4,1,1,0,3,11,4,3
P40377,0,0,0,0,0,0,0,0,0,0,0,0
P40383,1,4,0,0,4,7,1,3,6,105,48,29
P40421,0,2,0,0,0,0,0,0,3,7,0,1
P40494,0,0,0,0,0,0,9,0,0,0,0,0
P40501,0,2,0,0,4,0,0,0,0,6,2,4
P40513,85,73,2,76,173,92,136,174,14,448,278,206
P40514,0,3,0,1,1,2,1,3,0,9,1,7
P40557,0,0,0,0,0,0,0,0,0,0,0,0
P40564,5,1,0,17,66,18,29,37,1,142.945,58,42
P40586,0,0,0,0,0,0,0,0,0,0,0,0
P40644,0,0,0,0,0,0,11,0,0,0,0,0
P40690,0,0,0,0,0,0,4,0,0,0,0,0
P40761,0,1,0,1,7,0,11,1,2,3,0,0
P40792,0,0,0,0,0,0,6,0,0,0,0,0
P40796,8,2,1,1,0,0,4,1,4,2,0,0
P40806,1,0,0,4,14,7,10,10,2,33.771,9,8
P40818,0,0,0,5,20,13,15,23,3,13,12,8
P40854,0,0,0,0,1,0,0,0,4,2,8,2
P40862,0,0,0,0,1,2,7,7,1,12,1,8
P40872,0,0,0,0,0,0,2,0,2,0,0,0
P40882,0,0,0,0,1,3,16,0,0,2,4,0
P40893,0,0,0,0,0,0,0,0,0,16,3,3
P40896,0,1,0,5,9.013,0,4,1,1,315,153,146
P40926,0,0,0,0,0,0,0,0,0,0,0,0
P40927,0,0,0,0,0,0,2,0,0,0,0,0
P40937,0,3,0,2,6,14,22,20.437,2,1,9,3
P40938,0,0,0,0,0,0,1,0,0,0,0,0
P40978,115,158,4,118,289,295,339,381,11,525,292,251
P40983,0,0,0,0,0,0,0,0,0,0,0,0
P40989,0,0,0,0,0,7,1,3.207,0,17.661,48.254,14.725
P40999,0,0,0,0,0,0,0,0,0,2,0,0
P41001,0,0,0,0,0,0,1,0,0,0,0,0
P41003,4,3,10,0,0,0,2,1,0,0,0,0
P41041,0,3,0,15,26,24,26,28,11,33,20,21
P41043,0,0,0,0,0,0,15,0,0,0,0,0
P41129,87,114,1,212,453,326.999,620.966,597,18,1550.371,555.001,475
P41150,0,0,0,37,238.925,106,222,291,5,7,0,0
P41179,0,0,0,2,1,0,0,0,0,0,0,0
P41181,0,0,0,0,5,1,1,2,2,6,0,8
P41189,0,0,0,2,16,2,0,0,0,0,1,0
P41210,0,1,0,16,33,9,38,24,2,10,4,8
P41247,0,1,0,0,8,2,0,4,1,8,3,2
P41252,0,0,0,0,0,0,0,0,0,0,0,0
P41351,0,0,3,0,0,0,0,0,0,0,0,0
P41363,0,0,0,0,0,0,0,0,0,0,0,0
P41366,0,0,0,0,0,0,0,0,0,64,21,15
P41380,0,0,0,0,0,0,0,0,0,0,0,0
P41410,0,0,0,0,3,0,0,0,0,0,2,0
P41411,40,55,0,1,4,4,2,6,6,49,16,27
P41413,0,0,0,1,11,4,7,8,0,9,2,2
P41439,0,2,0,0,0,0,2,0,0,5,1,2
P41561,0,0,0,0,0,0,1,0,0,0,0,0
P41637,0,1,0,0,0,0,0,0,1,0,0,0
P41753,2,6,0,4,5,0,8,2,0,13.348,10,6.825
P41764,26,46,0,2,5,2,0,2,9,5,2,4
P41879,0,0,0,0,0,0,0,0,0,0,0,0
P41932,0,0,0,0,0,0,0,0,0,68,32,31
P41938,0,0,0,0,0,0,0,0,3,19,9,5
P42042,8,14,28,1,4,0,2,6,0,63,16,33
P42058,0,0,0,0,1,2,0,2,0,1,2,1
P42059,0,0,0,0,0,2,0,1,0,0,0,0
P42126,0,0,0,3,8,1,1,6,1,0,0,0
P42158,0,0,0,0,0,0,1,0,0,0,0,0
P42196,0,0,0,0,0,0,22,0,0,0,0,0
P42197,0,0,0,0,0,0,2,0,0,4,0,0
P42210,0,0,0,0,0,0,2,0,0,0,0,0
P42285,0,1,0,2,0,3,4,5,7,6,0,1
P42322,0,0,0,11,14,10,21,14,1,63,35,22
P42347,6,3,0,0,3,1,4,1,0,17,7,10
P42348,0,0,0,0,0,0,0,1,3,1,0,0
P42407,0,0,0,0,4,1,0,2,0,1,0,0
P42497,4,6,0,0,6,1,4,4,1,111,51,51
P42524,0,0,0,6,44,23,27,43,0,16,5,1
P42525,9,30,0,2,3,3,30.665,2,2,36,7,11
P42527,0,0,0,0,0,0,2,0,0,0,0,0
P42577,0,3,0,61,231,119,186,274,0,131,54,61
P42604,0,0,0,0,0,2,4,0,4,3,0,0
P42620,0,1,0,76,268,65,228,261,5,2,1,0
P42644,118.941,198.837,5,382.029,1063.419,843.483,1215.35,1317.588,8.424,2078.139,832.672,1139.031
P42649,1,0,0,0,1,0,11,1,0,1,0,0
P42650,1,1,0,0,0,0,0,0,2,20,7,10
P42693,38,52,1,31,126,104,107,164,7,129,71,63
P42696,0,0,0,2,2,12,17,18,1,0,1,0
