Entry,M_c1_C,M_c3_C,M_c5_C,M_c6_C,M_c7_C,M_c8_C,O_c1_C,O_c2_C,O_c3_C,O_c6_C,O_c7_C,O_c8_C,Past_c1_C,Past_c5_C,Past_c6_C,Past_c7_C,Pstr_c3_C,Pstr_c5_C,Pstr_c7_C,Pstr_c8_C,UVI_081_C,UVI_083_C,UVI_085_C,UVI_087_C,UVI_089_C,UVI_091_C,UVI_093_C,UVI_095_C,UVI_097_C,UVI_099_C,UVI_103_C,UVI_105_C,UVI_107_C,USVI_109_C,USVI_111_C,USVI_117_C,UVI_129_C,UVI_131_C,UVI_133_C,UVI_135_C,UVI_137_C
Q8MYF1,0,6,2,7,7,2,1,41,7,1,3,0,1,0,0,0,0,0,0,0,5,4,0,5,2,0,0,0,0,0,3,1,8,0,0,0,41,47,40,46,13
Q8MZS4,0,0,0,0,0,5,3,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1.257,6,6,0,0,0,0,0,1,0,0,0,0,6.149,6,0,18,4
Q8N0N3,0,8,2,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,4,0,2,0,0,0,0,0,1,2,1,2,0,0,0,66,83,47,64,33
Q8N0N9,12,8,4,4,7,4,2.084,46.018,8,6,6,0,0,0,0,0,0,0,0,0,20,14,8,9.025,8,0,0,0,3,11,14,4,11,0,0,3,206.272,198.97,182,183,165
Q8N0P0,0,2,1,6,3,2,4.916,329.982,0,0,2,1,0,0,0,0,105,29,216,101,0,0,0,0,0,13,6,22,2,0,0,0,48,0,1,0,1,13.03,3,5,0
Q8N0W4,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,2,3,4,0
Q8N1E6,7,19,11,2,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,2,5,0,0,0,0,3,1,6,14,0,0,0,16,5,15,14,2
Q8N2G8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,5,9,4
Q8N2K1,0,0,0,1,1,1,9,18,2,0,1,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,58,95,83,62,76
Q8N2W9,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q8N357,3,11,6,6,6,5,3,17,10,11,2,8,0,0,0,0,0,0,0,0,1,3,3,5,2,1,5,0,1,3,4,3,6,0,0,1,48,52,43,54,10
Q8N371,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,12,19,15,0,0,0,2,0,3,0,1
Q8N3P4,16,20,14,9,18,10,11,4,18,4,1,12,0,0,0,0,0,0,0,0,13,4,3,10,10,2,1,0,0,4,0,4,7,0,0,0,7,6,24,14,13
Q8N428,0,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
Q8N4A0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q8N4J0,0,0,0,0,0,0,0,13,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Q8N4V2,2,7,3,7,1,4,1,1,0,3,1,2,0,0,0,0,0,0,0,0,1,2,0,5,2,0,0,0,1,1,2,3,2,0,0,0,4,5,5,7,2
Q8N568,384,1115,784,451,542,453,2,2,8,3,0,0,0,0,0,0,0,0,0,0,310,253,163,403,200,0,2,0,0,1,0,0,4,0,0,0,198,169.009,295,314.953,168
Q8N5I4,16,31,34,25,39,22,25,12,23,23,9,53,0,0,0,0,0,0,0,0,31,14.001,19,24,23,3,4,0,8,12,19,32,53,0,0,0,10,18,6,6.033,12
Q8N5P1,424.685,247.529,287.112,187.371,259.897,204.62,26,13,31,58,31,136.952,1,0,0,0,0,0,0,0,124.082,106.849,77.798,135.546,68.374,12,7,0,10,30.655,21,54.203,64.011,0,0,0,61,65.19,84.86,93.704,50
