"","USVI_118_A","UVI_092_B","UVI_094_B","UVI_096_B","UVI_108_B","UVI_132_B","UVI_092_C","UVI_094_C","UVI_100_C","UVI_102_C","UVI_104_C","UVI_106_C","UVI_108_C","USVI_118_C","UVI_132_C","UVI_136_C","UVI_138_C","UVI_106_D","M_d6_A","Past_d1_A","Past_d2_A","Past_d3_A","Past_d6_A","Past_d7_A","M_d6_B","O_d1_B","O_d3_B","O_d6_B","O_d7_B","O_d8_B","Past_d7_B","Pstr_d7_B","M_d1_C","M_d3_C","M_d6_C","O_d1_C","O_d3_C","O_d6_C","O_d7_C","O_d8_C"
"Q10058",2,40,24,49,1,0,9,24,27,64,80,59,76,0,106,25,19,0,0,92,144,57,30,17,0,1,0,0,0,0,0,0,197,170,278,277,340,345,228,278
"Q10074",13,26,13,55,0,0,0,1,1,14,0,13,4,2,24,5,17,4,0,172,163,45,10,14,0,0,0,0,0,0,0,1,44,38,54,7,13,0,0,19
"Q10082",0,2,1,1,1,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1
"Q10137",469,96,64,180,5,0,3,0,2,1,2,1,2,0,349,208,124,18,0,1876,1528,672,1296,169,0,0,0,0,0,0,0,30,106,124,146,11,32,22,1,16
"Q10154",45,40,19,51,5,0,0,0,0,1,1,3,0,0,0,0,0,0,0,128,195,96,124,16,0,0,0,0,0,0,0,8,0,0,3,1,1,3,0,2
"Q10190",14,16,24,65,2,0,3,1,0,0,3,4,0,2,35,9,3,0,0,139,88,42,23,4,0,0,0,0,0,0,0,13,4,2,1,39,37,18,30,46
"Q10233",50,95,72,153,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,95,276,59,19,12,0,0,0,0,0,0,0,41,3,6,7,0,0,1,0,0
"Q10267",9,52,51,107,8,0,0,1,0,0,1,1,0,1,3,1,1,3,0,169,285,94,54,32,0,0,0,0,0,0,0,41,0,0,0,1,0,1,0,0
"Q10323",80,69,57,51,1,0,3,2,2,7,3,4,5,4,137,36,32,35,0,362,604,260,84,68,0,0,0,0,0,0,0,74,14,16,18,56,126,71,74,110
"Q10475",0,4,6,10,3,0,0,0,0,2,0,3,2,0,6,2,2,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,30,11,1,7
