"","USVI_118_A","UVI_092_B","UVI_094_B","UVI_096_B","UVI_108_B","UVI_132_B","UVI_092_C","UVI_094_C","UVI_100_C","UVI_102_C","UVI_104_C","UVI_106_C","UVI_108_C","USVI_118_C","UVI_132_C","UVI_136_C","UVI_138_C","UVI_106_D","M_d6_A","Past_d1_A","Past_d2_A","Past_d3_A","Past_d6_A","Past_d7_A","M_d6_B","O_d1_B","O_d3_B","O_d6_B","O_d7_B","O_d8_B","Past_d7_B","Pstr_d7_B","M_d1_C","M_d3_C","M_d6_C","O_d1_C","O_d3_C","O_d6_C","O_d7_C","O_d8_C"
"Q5QN75",154,1,1,3,0,0,0,0,0,0,0,0,1,0,3,1,0,1,2,147,139,44,57,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q5R2J2",89,64,35,212,3,2,12,39,0,0,1,0,2,2,246,39,101,26,0,544,544,189,187,56,1,0,0,0,0,0,0,12,5,18,6,279,540,579,511,829
"Q5R478",23,14,24,38,6,0,0,1,1,1,0,2,1,0,0,0,0,1,0,184,169,81,68,16,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1
"Q5R4A6",42,75,48,95,5,0,4,3,0,16,6,14,14,2,18,11,5,0,0,160,261,97,32,38,0,0,0,0,0,0,0,17,6,34,35,28,74,69,20,59
"Q5R4H3",0,21,15,148,3,0,1,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,34,41,24,0,22,9,0,73
"Q5R4T9",115,392,254,521,24,31,0,0,0,0,0,46,0,0,0,0,0,0,0,59,63,28,43,10,26,32,20,37,13,18,0,11,0,0,0,0,1,0,0,0
"Q5R5U4",0,9,6,7,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
"Q5R5X3",15,247,217,521,10,0,1,10,5,9,11,10,13,9,59,21,19,31,0,482,449,191,180,39,0,0,0,0,0,0,0,64,379,656,346,76,134,88,134,95
"Q5R614",163,40,70,187,2,0,0,1,0,1,0,39,2,4,11,3,2,1,0,678,568,210,246,63,0,0,0,0,0,0,0,26,0,8,0,1,10,0,1,15
"Q5R6Q2",55,42,38,89,0,0,1,5,0,10,0,0,20,0,1,0,7,0,0,68,34,38,12,44,0,0,0,0,0,0,0,23,16,10,2,16,91,29,15,70
"Q5R7R6",122,17,23,57,1,0,0,0,0,0,0,2,0,0,0,0,0,5,0,255,349,127,121,38,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0
"Q5R833",4,13,11,18,0,0,3,14,12,26,3,15,30,0,1,2,2,0,0,32,54,12,15,3,0,0,0,0,0,0,0,0,20,21,48,71,188,112,60,75
"Q5R8Q7",86,7,8,40,0,0,0,0,0,1,1,2,1,0,8,1,1,3,0,149,133,63,31,19,0,0,0,0,0,0,0,0,19,21,19,0,0,1,0,1
"Q5RAG2",41,51,18,109,1,0,0,0,0,1,0,1,8,2,1,2,2,5,0,291,310,109,78,31,0,0,0,0,0,0,0,7,1,0,0,0,0,7,7,9
"Q5RBU7",0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0
"Q5RC74",60,57,59,80,1,0,0,1,0,1,0,0,1,0,27,42,6,0,0,448,400,170,97,29,0,0,0,0,0,0,0,36,0,0,0,9,0,0,0,0
"Q5RC80",54,119,112,195,3,0,0,0,0,1,1,1,1,0,30,18,3,4,0,241,262,118,71,38,0,0,0,0,0,0,0,70,0,13,17,9,7,0,23,0
"Q5RCV8",76,28,8,65,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,164,195,85,49,22,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7
"Q5RDU4",117,147,107,262,5,0,5,1,0,0,0,3,0,0,0,0,0,0,0,574,474,345,441,61,0,0,0,0,0,0,0,50,0,0,0,0,1,0,0,0
"Q5REG4",4,32,23,40,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,90,94,41,45,11,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
"Q5RFD2",28,1,1,30,0,0,0,1,1,2,1,14,3,3,7,8,5,12,0,218,174,96,67,23,0,0,0,0,0,0,0,7,0,0,0,6,10,7,1,9
"Q5RFQ0",1,1,2,2,0,0,0,0,6,14,9,18,45,1,1,2,1,0,0,70,73,41,17,21,0,0,0,0,0,0,0,18,0,0,0,0,23,0,0,0
"Q5RFT1",11,30,27,38,1,0,0,0,0,1,0,1,2,0,104,42,22,0,0,185,201,86,21,29,0,0,0,0,0,0,0,29,3,3,5,0,4,8,0,1
"Q5RGV1",0,6,9,37,1,0,0,0,2,3,1,4,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,1,0,0,1
"Q5RKQ0",21,139,105,207,2,0,9,47,50,110,130,164,199,0,106,24,37,0,0,376,420,113,134,50,0,0,0,0,0,0,0,69,408,404,357,414,716,717,494,451
"Q5SKR5",72,18,26,43,0,0,0,0,5,15,4,13,0,0,1,0,0,0,0,125,110,55,25,9,0,0,0,0,0,0,0,0,63,77,62,0,0,6,1,3
"Q5SNX7",2,151,110,280,1,1,0,1,6,17,4,27,23,2,9,7,3,0,0,175,145,122,84,25,0,0,0,0,0,0,0,81,12,1,0,19,29,16,1,38
"Q5SPC5",5,40,16,78,4,0,10,30,1,2,0,3,0,1,12,4,2,11,0,57,58,29,5,4,0,0,0,0,0,0,0,0,19,26,12,160,259,243,127,357
"Q5SXM8",3,13,12,27,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,25,38,34,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"Q5T089",15,8,2,5,1,0,0,0,17,50,80,51,91,1,1,1,1,2,0,953,1126,468,227,151,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0
"Q5TCS8",19,48,69,161,0,0,0,1,4,21,8,11,11,2,5,2,1,3,0,198,209,73,120,27,0,0,0,0,0,0,0,27,1,1,0,6,15,48,46,54
"Q5TYM7",23,9,21,42,10,0,24,23,65,68,160,180,104,1,204,129,75,26,0,885,802,358,326,116,0,0,0,0,0,0,0,16,341,410,399,648,848,666,409,657
"Q5TYW6",143,169,98,310,11,0,15,20,17,40,38,20,48,6,24,6,8,2,0,630,606,268,326,119,0,0,0,0,0,0,0,29,165,197,161,206,191,195,151,170
"Q5TZ51",36,68,53,130,3,0,4,8,7,8,7,4,18,2,44,14,21,0,0,154,151,114,57,20,0,0,0,0,0,0,0,26,44,53,60,64,135,82,30,87
"Q5U2X2",6,68,68,84,1,1,5,2,27,116,120,92,115,3,2,1,1,2,0,569,598,280,232,59,0,0,0,0,0,0,0,134,16,18,27,59,34,63,46,89
"Q5U374",3,5,6,9,1,0,20,17,13,73,43,45,79,3,75,30,30,0,0,150,117,21,11,11,0,0,0,0,0,0,0,11,172,219,189,189,300,280,146,302
"Q5U430",18,9,0,2,0,0,0,3,1,2,0,1,0,0,33,11,13,3,0,47,46,25,12,3,0,0,0,0,0,0,0,5,40,44,54,7,3,0,0,10
"Q5U4F6",0,8,4,13,1,0,2,2,11,16,7,16,13,2,9,4,3,3,0,33,28,25,5,6,0,0,0,0,0,0,0,21,20,18,35,10,39,17,20,19
"Q5UNS8",33,69,67,135,4,0,3,9,2,6,6,9,1,0,22,3,8,7,0,108,135,16,46,10,0,0,0,0,0,0,0,30,42,89,72,67,150,71,19,96
"Q5UNT8",1,82,72,143,8,0,1,7,16,57,83,19,51,6,87,16,9,8,0,143,195,86,19,18,0,0,0,0,0,0,0,12,219,226,185,308,448,286,210,414
"Q5UNW1",43,45,49,100,1,0,12,10,29,127,31,105,164,1,381,104,171,14,0,611,796,375,155,114,0,0,0,0,0,0,0,30,370,320,345,292,442,460,237,571
"Q5UP24",482,174,71,189,0,0,0,0,3,1,1,1,0,7,4,0,0,12,0,1302,1015,521,663,98,0,0,0,0,0,0,0,29,0,0,0,14,24,11,11,17
"Q5UP57",18,30,52,39,1,0,0,1,2,29,19,27,16,4,7,12,5,6,1,235,205,112,70,13,0,0,0,0,0,0,0,0,59,94,71,31,38,9,23,48
"Q5UPD4",1,139,106,263,5,1,1,5,1,20,11,14,7,4,28,8,5,47,0,60,81,0,28,10,0,0,0,0,0,0,0,94,102,106,99,106,289,274,199,436
"Q5UPG5",107,238,137,411,4,0,0,2,31,58,23,55,73,2,12,1,3,24,0,1436,1165,582,431,165,0,0,0,0,0,0,0,68,27,32,35,65,77,53,72,97
"Q5UPJ4",9,26,36,72,1,0,0,1,2,13,2,1,5,0,6,2,1,7,0,152,209,96,72,11,0,0,0,0,0,0,0,0,0,0,0,6,23,29,7,58
"Q5UPP8",1,12,5,16,0,0,5,25,21,63,64,66,100,1,117,80,28,0,0,83,58,18,0,22,0,0,0,0,0,0,0,0,243,239,257,282,434,374,287,387
"Q5UPT4",1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,18,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q5UQ88",121,59,47,113,4,0,9,16,2,3,3,2,2,1,2,11,0,10,0,460,457,234,113,56,0,0,0,0,0,0,0,24,1,4,10,78,118,58,57,88
"Q5UQA2",43,36,39,94,0,0,0,1,0,1,0,1,1,2,18,9,10,2,0,263,201,86,113,29,0,0,0,0,0,0,0,20,0,0,0,1,14,0,0,13
"Q5UQE9",1401,75,72,128,1,1,563,1299,729,2687,1495,3057,3089,57,2156,1442,1079,4,12,17244,14356,6243,9745,1286,0,0,0,0,0,0,0,235,7084,8599,6700,9715,16666,12444,14194,10596
"Q5UQK4",88,1,8,22,0,0,0,0,5,1,0,1,3,1,4,1,8,2,0,203,215,101,66,16,0,0,0,0,0,0,0,0,0,1,5,0,1,6,0,11
"Q5UQV6",4,1,2,1,0,0,0,0,0,1,0,0,1,0,44,30,4,0,0,101,152,49,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q5UQW4",31,147,149,299,3,0,108,80,2,15,1,1,2,4,47,20,7,7,0,361,332,169,85,36,0,0,0,0,0,1,0,32,1,11,22,626,891,918,688,1148
"Q5UR03",4,48,37,83,1,0,1,3,0,1,1,1,1,0,1,0,0,9,0,183,172,76,42,36,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0
"Q5UR45",42,66,38,107,3,0,0,0,0,0,0,0,1,1,3,0,0,1,0,239,267,73,55,29,0,0,0,0,0,0,0,25,3,0,1,7,0,1,0,0
"Q5UR59",10,62,43,100,2,0,3,1,1,0,1,1,4,0,3,0,0,7,0,186,103,39,11,13,0,0,0,0,0,0,0,44,4,1,3,11,11,7,13,3
"Q5VNN5",5,42,21,39,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,104,105,46,7,8,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
"Q5VQL1",6,17,15,34,2,0,0,0,0,2,0,3,2,2,8,4,1,5,0,139,66,58,15,14,0,0,0,0,0,0,0,0,15,10,10,1,0,0,15,0
"Q5VQQ5",143,39,39,111,1,0,9,21,17,332,51,180,272,1,2,2,0,10,0,1121,1169,566,316,130,0,0,0,0,0,0,0,42,7,10,12,167,439,772,326,807
"Q5VRB2",391,26,45,86,0,0,2,3,0,1,1,13,3,7,24,9,8,1,0,846,674,228,209,85,0,0,0,0,0,0,0,13,43,73,20,0,18,7,7,6
"Q5VRH9",10,21,19,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,55,30,3,2,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
"Q5VYS8",232,182,116,498,19,0,69,133,3,11,7,6,16,18,24,12,9,12,0,1394,1164,569,725,98,0,0,0,0,0,0,0,57,89,147,123,595,1190,906,679,888
"Q5XDZ5",15,34,13,67,0,0,0,0,0,1,6,3,3,1,19,32,12,5,0,71,101,24,14,14,0,0,0,0,0,0,0,9,48,68,87,1,19,0,0,23
"Q5XEP2",21,104,91,175,3,3,0,0,1,12,4,5,3,2,5,4,9,0,0,202,333,166,32,35,0,0,0,0,0,0,0,48,27,21,22,12,6,8,17,15
"Q5XEZ5",1,53,28,69,5,0,0,0,0,0,0,0,0,0,0,0,0,9,0,87,61,46,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0
"Q5XG87",9,4,5,7,0,0,0,2,13,27,15,33,27,3,8,15,5,3,0,133,204,49,33,34,0,0,0,0,0,0,0,9,52,31,72,0,30,1,18,15
"Q5XGE0",18,12,13,28,0,0,4,0,0,0,0,0,0,0,0,1,0,2,0,59,57,24,4,16,0,0,0,0,0,0,0,10,0,5,0,0,0,0,0,0
"Q5XGI0",8,18,13,26,0,0,0,0,7,36,22,31,35,1,1,0,2,1,0,106,258,95,12,47,0,0,0,0,0,0,0,13,1,0,5,0,4,20,12,23
"Q5XGI5",57,2,1,21,0,0,0,0,2,10,1,14,6,1,0,0,0,0,0,154,137,50,53,30,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0
"Q5XI50",5,13,12,43,0,0,0,0,0,0,0,2,0,0,0,0,0,8,0,197,210,58,49,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q5XIA3",10,28,23,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,56,38,12,4,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0
"Q5XIC0",15,70,53,120,1,0,2,5,0,1,1,2,0,2,2,2,1,1,0,105,162,69,18,35,0,0,0,0,0,3,0,20,0,3,0,14,0,16,0,13
"Q5XIJ5",25,85,75,126,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,85,113,43,42,12,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0
"Q5XIS1",170,1,1,9,0,0,0,0,7,5,6,1,2,0,1,0,0,2,0,277,267,98,160,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Q5XJP1",19,12,12,18,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,20,21,0,15,0,0,0,0,0,0,0,10,0,0,1,0,0,0,1,1
"Q5YLM1",2,24,15,28,0,0,3,8,1,2,5,1,1,6,1,0,1,22,0,95,64,54,0,0,0,0,0,0,0,0,0,19,0,0,0,179,245,191,109,144
"Q5YXQ1",23,21,21,29,0,0,0,0,0,7,0,0,0,1,0,0,0,1,0,70,42,27,21,3,0,0,0,0,0,0,0,17,0,3,0,0,0,1,0,3
"Q5Z859",24,67,61,173,3,0,0,1,1,29,5,10,19,5,13,3,2,4,0,290,287,144,116,40,0,0,0,0,0,0,0,39,26,10,34,0,18,36,0,35
"Q5Z9I2",131,25,20,82,1,0,0,0,0,1,2,1,1,2,9,5,1,8,0,374,390,169,133,53,0,0,0,0,0,0,0,21,0,0,0,0,0,0,11,10
"Q5ZCK5",63,122,74,210,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,317,318,123,47,25,0,0,0,0,0,0,0,60,0,0,0,0,1,0,0,0
"Q5ZHV2",4,49,41,69,3,0,1,2,7,26,13,28,36,1,1,1,0,0,0,75,88,17,30,1,0,0,0,0,0,0,0,55,1,1,10,17,33,48,51,46
"Q5ZIV7",0,1,4,12,1,0,0,0,0,0,1,0,0,2,14,3,5,1,0,63,96,45,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"Q5ZJ17",5,19,13,24,0,0,0,0,2,2,0,1,0,4,6,2,2,3,0,142,163,23,10,10,0,0,0,0,0,0,0,0,0,1,0,14,4,14,34,9
"Q5ZJ58",0,5,3,7,0,0,0,0,0,0,0,1,1,1,1,3,1,0,0,0,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,15,0
"Q5ZKF6",1,23,7,25,0,0,8,4,6,6,21,12,23,2,1,1,0,0,0,20,22,0,0,0,0,0,0,0,0,0,0,8,0,0,7,114,240,164,133,141
"Q5ZKQ3",2,7,4,6,0,0,0,0,0,0,0,0,0,0,1,2,1,3,0,29,23,0,21,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
"Q5ZKR7",415,162,248,477,1,0,1,5,16,56,57,1,1,12,74,36,12,6,0,1986,1713,862,747,177,0,0,0,0,0,0,0,47,17,40,26,72,146,152,117,168
"Q5ZKW5",17,49,47,78,3,0,0,1,0,0,1,1,4,8,7,1,3,0,0,29,62,17,13,15,0,0,0,0,0,0,0,21,129,148,77,0,6,3,5,6
"Q5ZL00",55,62,57,124,7,0,0,0,1,2,0,3,3,6,1,0,3,3,0,414,411,171,220,55,0,0,0,0,0,0,0,9,31,94,51,0,8,0,0,5
"Q5ZL54",5,103,70,130,5,0,0,0,2,2,1,1,1,3,1,1,0,6,0,259,199,108,55,13,0,0,0,0,0,0,0,56,5,0,0,8,25,0,6,8
"Q5ZL55",2,13,13,32,1,0,0,0,0,0,0,0,0,0,5,1,3,3,0,64,117,44,0,18,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1
"Q5ZLF0",15,69,42,181,1,1,0,1,6,1,1,3,1,1,44,21,20,2,0,275,258,129,47,68,0,0,0,0,0,0,0,20,1,0,17,8,26,19,10,24
"Q5ZLG8",32,4,1,12,0,0,0,0,0,0,0,7,0,0,8,0,0,1,0,57,64,27,16,14,0,0,0,0,0,0,0,0,2,4,1,0,5,0,0,2
"Q5ZLT0",1,23,12,73,0,0,15,25,9,66,15,50,54,4,1,1,1,3,0,190,148,61,31,0,0,0,0,0,0,0,0,4,7,1,7,175,363,386,280,496
"Q5ZM55",148,1,0,0,0,0,6,4,1,25,0,16,25,0,3,0,0,0,0,342,254,83,145,37,0,0,0,0,0,0,0,0,0,0,0,7,35,43,59,41
"Q60389",45,15,10,58,3,0,0,0,0,0,0,2,0,1,7,2,1,11,0,247,266,115,92,39,0,0,0,0,0,0,0,7,0,0,0,1,10,10,0,6
"Q60EX6",11,59,47,109,3,2,1,1,0,2,0,0,0,1,50,21,21,0,0,144,353,53,18,31,0,0,0,0,0,0,0,34,0,0,1,26,24,27,6,36
"Q611C8",65,9,4,19,0,0,0,0,0,0,1,2,2,2,1,3,0,15,0,289,285,62,152,40,0,0,0,0,0,0,0,0,0,0,0,0,10,12,0,15
"Q61371",6,32,38,89,0,0,0,0,0,4,0,6,4,6,6,0,1,7,0,40,145,26,26,4,0,0,0,0,0,0,0,58,1,1,1,41,2,10,8,3
"Q62559",37,21,6,78,0,0,1,0,2,2,0,8,0,3,2,3,0,7,0,257,248,86,93,35,0,0,0,0,0,0,0,0,6,5,11,4,0,15,0,16
"Q627N3",445,4,4,8,0,0,0,4,0,0,0,0,0,0,8,0,6,18,0,745,643,264,594,60,0,0,0,0,0,0,0,0,1,1,4,2,2,2,0,2
"Q62968",1367,197,82,141,3,0,6,1,2,1,2,1,1,25,69,21,19,3,0,1887,1997,781,1789,203,0,0,0,0,0,0,0,48,14,0,23,55,123,115,49,117
"Q63120",14,28,21,68,2,1,25,14,0,0,0,3,4,0,2,0,2,4,0,444,480,265,15,27,0,0,0,0,0,0,0,1,66,20,43,0,10,0,1,18
"Q63164",4,6,5,9,1,1,0,2,4,23,13,25,18,1,2,5,0,2,0,50,60,20,17,13,0,0,0,0,0,0,0,9,1,11,3,15,53,76,2,78
"Q63170",173,27,23,60,0,0,1,6,63,272,94,251,325,3,52,12,10,12,0,2067,1841,855,505,113,0,0,0,0,0,0,0,65,98,182,137,146,136,177,98,493
"Q63184",0,34,30,48,1,0,0,1,0,0,0,0,0,0,2,0,0,2,0,110,77,77,19,13,0,0,0,0,0,0,0,0.971,0,0,0,0,0,0,0,0
"Q63472",426,13,6,51,0,0,4,0,2,14,2,7,3,5,3,2,1,5,0,832,797,216,157,69,0,0,0,0,0,0,0,0,14,10,15,7,33,1,1,46
"Q63486",26,47,37,80,2,0,3,6,0,1,0,4,0,2,0,0,0,4,0,83,185,61,12,32,0,0,0,0,0,0,0,20,1,1,2,14,93,58,4,33
"Q63615",3,16,13,8,0,0,2,2,1,6,2,0,3,0,103,64,48,0,0,7,1,0,16,1,0,0,0,0,0,0,0,13,0,7,9,112,166,192,87,176
"Q63HM2",15,36,23,53,3,0,1,0,4,8,5,4,9,0,7,7,9,0,0,51,78,16,22,9,0,0,0,0,0,0,0,0,31,42,56,34,55,38,15,28
"Q640P7",3,3,3,16,1,0,0,0,12,16,7,3,3,1,1,0,1,3,0,209,183,83,15,19,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
"Q64152",369,149,72,130,11,0,0,0,0,6,4,3,3,9,7,2,2,26,0,861,797,486,826,164,3,0,0,0,0,0,0,47,51,32,47,10,12,15,43,1
"Q641A1",71,274,206,486,12,1,0,0,1,1,3,1,1,0,2,0,0,12,0,1136,1559,619,287,131,0,0,0,0,0,0,0,71,0,0,0,0,32,11,0,21
"Q641W7",1,28,29,54,2,0,9,10,24,109,71,89,97,1,12,11,4,0,0,59,94,79,0,0,0,0,0,0,0,0,0,25,98,181,132,391,415,312,204,351
"Q641Z6",83,3,3,8,0,0,0,1,3,31,19,10,11,3,1,1,2,3,0,181,189,74,27,55,0,0,0,0,0,0,0,18,1,6,0,1,9,7,16,9
"Q64520",121,18,10,36,0,0,4,16,33,139,72,132,124,0,83,29,28,0,0,433,369,140,181,51,0,0,0,0,0,0,0,15,222,153,240,196,244,408,178,366
"Q64M78",614,297,315,1036,22,1,1,1,3,57,16,66,53,9,64,16,37,28,0,3075,2399,1051,1678,200,0,0,0,7,0,0,0,62,215,268,159,53,137,116,116,206
"Q652N5",18,14,13,17,1,0,1,1,27,75,31,80,86,2,34,21,9,2,9,361,419,198,53,65,0,0,0,0,0,0,0,5,1,10,8,53,150,126,49,144
"Q653P0",316,5,2,35,0,0,1,4,7,11,13,15,9,1,51,24,5,2,0,590,561,216,150,55,0,0,0,0,0,0,0,0,11,12,7,37,99,50,28,62
"Q653S9",2,2,3,11,2,1,34,94,69,329,111,326,504,0,216,43,47,6,0,454,365,141,119,36,0,0,0,0,0,0,0,0,888,1055,724,489,1118,1092,852,1284
"Q657W3",322,54,99,6,3,0,0,0,1,1,0,1,1,2,27,9,4,0,0,770,675,269,275,72,0,0,0,0,0,0,0,13,10,6,10,0,0,0,0,7
"Q65IA4",97,46,26,59,2,0,0,0,1,0,0,0,1,0,7,1,2,0,0,224,288,124,69,28,0,0,0,0,0,0,0,14,0,0,0,0,0,7,0,0
"Q65JC2",637,530,343,1143,14,1,3,29,1,1,0,39,1,3,4,1,4,41,0,3363,2519,1216,1997,206,0,0,0,0,0,0,0,56,0,0,9,197,395,483,452,426
"Q65X92",27,41,120,342,4,0,4,8,4,38,15,38,29,3,110,17,19,5,0,429,372,157,105,39,0,0,0,0,0,0,0,14,125,161,86,82,268,231,99,308
"Q65XA0",16,23,13,31,4,1,0,0,0,0,0,5,0,0,0,0,0,0,0,18,75,28,12,10,0,0,0,0,0,0,0,15,13,14,8,0,0,0,0,0
"Q66GI4",10,34,45,55,4,0,0,0,1,0,1,1,1,1,22,4,13,5,0,192,154,48,16,17,0,0,0,0,0,0,0,17,66,63,69,0,0,0,0,0
"Q66KH2",2,28,14,30,0,0,2,1,1,5,2,1,3,0,5,1,3,2,0,43,103,23,11,17,0,0,0,0,0,0,0,0,10,5,5,10,20,8,0,0
"Q66KM5",400,11,32,83,1,0,1,0,0,0,0,9,0,4,21,15,2,3,0,834,748,334,404,76,0,0,0,0,0,0,0,12,0,12,0,14,0,0,0,14
"Q66PY1",18,207,195,452,8,1,11,7,3,29,8,23,23,2,2,3,3,14,0,474,512,178,230,57,0,0,0,0,0,0,0,110,22,16,26,78,216,211,101,205
"Q67UX7",3,99,35,160,1,0,1,5,10,46,28,47,45,3,1,0,1,6,0,89,59,45,12,10,0,0,0,0,0,0,0,101,6,20,6,47,90,113,71,95
"Q67XX3",7,143,29,178,1,0,0,1,6,1,2,1,1,1,9,7,8,18,0,351,482,135,74,54,0,0,0,0,0,0,0,46,0,0,18,1,22,0,0,21
"Q67YC9",42,32,21,56,3,0,0,0,0,1,0,0,0,6,1,0,0,6,0,307,193,95,224,48,0,0,0,0,0,0,0,31,0,6,0,0,0,0,0,0
"Q67Z52",202,105,28,60,0,0,0,0,2,2,13,5,0,5,18,18,4,1,0,502,450,187,379,76,0,0,0,0,0,0,0,13,1,0,7,12,10,12,16,21
"Q67ZB6",2,13,13,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21,1,0,4,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0
"Q68EK7",1,4,9,10,3,0,1,0,0,1,0,2,0,0,6,2,3,0,0,27,64,19,0,6,0,0,0,0,0,0,0,0,1,0,0,9,0,1,5,0
"Q68EL2",27,7,7,24,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,77,103,31,32,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Q68UI8",6,32,30,98,7,2,4,6,0,0,1,4,2,1,1,0,2,5,0,23,108,56,7,3,0,0,0,0,0,0,0,10,0,0,6,67,126,143,108,177
"Q68UT7",8,40,25,80,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,96,43,0,5,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
"Q68XV0",92,99,88,203,1,0,6,22,42,169,55,92,162,1,185,109,103,0,0,970,797,312,418,86,0,0,0,0,0,0,0,6,155,204,194,450,867,483,683,563
"Q69NK8",53,19,11,27,2,0,1,1,38,144,74,169,171,0,3,1,1,2,0,1433,984,480,691,88,0,0,0,0,0,0,0,29,1,23,28,7,53,1,11,14
"Q69SV0",0,39,61,113,1,0,0,0,1,1,1,2,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23,45,58,55,0,11,14,0,0
"Q69TN4",27,7,4,4,1,0,1,1,26,100,28,78,112,4,3,1,1,6,0,575,662,248,256,138,0,0,0,0,0,0,0,0,60,97,38,21,12,0,32,22
"Q69TY5",100,53,73,250,23,0,49,49,1,1,0,0,3,7,28,10,7,10,0,651,542,262,235,63,0,0,0,0,0,0,0,44,0,3,11,586,821,517,538,601
"Q69VR7",129,55,50,130,3,0,0,0,0,0,0,2,0,0,0,0,0,3,0,577,494,179,247,43,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0
"Q6ASW7",16,41,60,160,5,0,0,0,0,0,0,0,0,1,0,4,0,3,0,62,85,28,14,13,0,0,0,0,0,0,0,0,159,212,148,0,0,0,0,0
"Q6AUC6",23,61,46,114,2,1,0,2,0,0,0,6,2,0,4,4,4,5,0,174,211,78,22,35,0,0,0,0,0,0,0,19,0,3,10,34,19,19,0,14
"Q6AUG0",36,33,24,46,4,0,0,0,0,2,1,0,1,2,4,3,1,7,0,134,194,42,32,50,0,0,0,0,0,0,0,24,0,4,12,4,7,5,7,1
"Q6AUV1",48,36,34,133,1,0,0,6,1,13,5,22,19,8,16,1,2,2,0,493,350,170,168,24,0,0,0,0,0,0,0,11,1,1,6,25,41,52,34,57
"Q6AWU6",44,0,0,1,0,0,0,0,0,5,0,29,0,0,26,10,1,0,0,32,32,11,10,13,0,0,0,0,0,0,0,0,1,0,3,49,46,67,88,46
"Q6AWX0",43,14,18,48,1,0,0,0,1,0,0,1,1,3,114,87,70,2,0,927,729,322,394,55,0,0,0,0,0,0,0,19,0,0,13,0,0,1,0,0
"Q6AY40",50,30,39,38,0,0,0,0,0,1,0,0,0,1,10,13,0,0,0,168,214,74,58,40,0,0,0,0,0,0,0,7,1,0,0,0,1,1,0,7
"Q6AYD3",19,0,0,0,0,0,4,13,9,34,10,22,53,0,45,14,9,1,0,186,185,56,32,9,0,0,0,0,0,0,0,0,34,26,9,30,158,178,31,190
"Q6AZW2",181,55,23,111,2,0,0,0,0,0,0,1,0,2,1,1,2,9,0,504,394,174,379,31,0,0,0,0,0,0,0,22,0,0,0,0,0,1,1,1
