"","UVI_092_A","UVI_094_A","UVI_096_A","UVI_100_A","UVI_102_A","UVI_104_A","UVI_106_A","UVI_108_A","USVI_118_A","UVI_132_A","UVI_136_A","UVI_138_A","UVI_092_B","UVI_094_B","UVI_096_B","UVI_100_B","UVI_102_B","UVI_104_B","UVI_106_B","UVI_108_B","USVI_118_B","UVI_132_B","UVI_136_B","UVI_138_B","UVI_092_C","UVI_094_C","UVI_096_C","UVI_100_C","UVI_102_C","UVI_104_C","UVI_106_C","UVI_108_C","USVI_118_C","UVI_132_C","UVI_136_C","UVI_138_C","UVI_092_D","UVI_094_D","UVI_096_D","UVI_100_D","UVI_102_D","UVI_104_D","UVI_106_D","UVI_108_D","USVI_118_D","UVI_132_D","UVI_136_D","UVI_138_D","M_d1_A","M_d3_A","M_d6_A","O_d1_A","O_d3_A","O_d6_A","O_d7_A","O_d8_A","Past_d1_A","Past_d2_A","Past_d3_A","Past_d6_A","Past_d7_A","Pstr_d7_A","M_d1_B","M_d3_B","M_d6_B","O_d1_B","O_d3_B","O_d6_B","O_d7_B","O_d8_B","Past_d1_B","Past_d2_B","Past_d3_B","Past_d6_B","Past_d7_B","Pstr_d7_B","M_d1_C","M_d3_C","M_d6_C","O_d1_C","O_d3_C","O_d6_C","O_d7_C","O_d8_C","Past_d1_C","Past_d2_C","Past_d3_C","Past_d6_C","Past_d7_C","Pstr_d7_C","M_d1_D","M_d3_D","M_d6_D","O_d1_D","O_d3_D","O_d6_D","O_d7_D","O_d8_D","Past_d1_D","Past_d2_D","Past_d3_D","Past_d6_D","Past_d7_D","Pstr_d7_D"
"Q54Q05",0,0,0,0,0,0,0,0,17,0,0,0,69,72,98,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,35,25,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,64,50,26,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,1,1,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q54QB1",0,0,0,0,0,0,0,0,3,0,0,0,130,96,271,0,1,0,1,6,0,0,0,0,35,90,0,174,418,194,357,507,8,86,43,55,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,610,574,253,139,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,943,975,1018,1141,1776,1291,1060,1287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q54QQ0",0,0,0,0,0,0,0,0,161,0,0,0,64,50,181,0,2,0,1,3,0,0,0,0,1,3,0,1,2,2,5,2,3,602,311,288,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2562,1975,934,921,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,12,32,14,61,54,24,14,121,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q54QX3",0,0,0,0,0,0,0,0,33,0,0,0,28,43,57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,89,26,42,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,130,103,59,12,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,98,121,136,4,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q54QY3",0,0,0,0,0,0,0,0,6,0,0,0,4,4,9,0,0,0,0,0,0,0,0,0,1,0,0,10,54,21,30,73,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,264,121,96,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q54R82",0,0,0,0,0,0,0,0,130,0,0,0,18,51,84,0,0,0,0,5,0,0,0,0,11,0,0,7,29,2,2,5,4,5,2,20,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,641,621,273,193,50,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,35,37,52,0,22,50,43,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q54RJ4",0,0,0,0,0,0,0,0,7,0,0,0,26,19,62,0,4,0,2,1,0,0,0,0,13,29,0,0,2,0,7,4,3,6,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,66,17,17,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,12,175,279,219,93,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q54RS7",0,0,0,0,0,0,0,0,18,0,0,0,10,15,20,0,0,0,0,2,0,0,3,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,125,27,43,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q54RZ2",0,0,0,0,0,0,0,0,15,0,0,0,40,16,20,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,5,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,48,19,23,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,9,1,16,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Q54S03",0,0,0,0,0,0,0,2,244,0,0,0,49,42,113,0,0,0,0,6,1,0,0,0,1,1,0,0,1,1,2,1,4,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,775,786,271,403,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,9,26,1,14,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
