Sample_ID,unmbiguous,Species,Clade,Treatment,Disease_status,Top_symbiont
UVI_132,60.77531,SSID,HOST,WP,LD,C
UVI_132,34.58601,SSID,UNMATCHED,WP,LD,C
UVI_133,0.09011,SSID,A,Control,HH,C
UVI_133,0.32655,SSID,B,Control,HH,C
UVI_133,4.79027,SSID,C,Control,HH,C
UVI_133,0.21363,SSID,D,Control,HH,C
UVI_133,59.64813,SSID,HOST,Control,HH,C
UVI_133,34.93131,SSID,UNMATCHED,Control,HH,C
UVI_134,0.11102,SSID,A,WP,E,C
UVI_134,0.29806,SSID,B,WP,E,C
UVI_134,3.16034,SSID,C,WP,E,C
UVI_134,0.21457,SSID,D,WP,E,C
UVI_134,62.24458,SSID,HOST,WP,E,C
UVI_134,33.97143,SSID,UNMATCHED,WP,E,C
UVI_135,0.06759,SSID,A,Control,HH,C
UVI_135,0.46363,SSID,B,Control,HH,C
UVI_135,4.54613,SSID,C,Control,HH,C
UVI_135,0.3282,SSID,D,Control,HH,C
UVI_135,60.44426,SSID,HOST,Control,HH,C
UVI_135,34.15019,SSID,UNMATCHED,Control,HH,C
UVI_136,0.07068,SSID,A,WP,LD,C
UVI_136,0.26999,SSID,B,WP,LD,C
UVI_136,2.78038,SSID,C,WP,LD,C
UVI_136,0.23116,SSID,D,WP,LD,C
UVI_136,61.78552,SSID,HOST,WP,LD,C
UVI_136,34.86227,SSID,UNMATCHED,WP,LD,C
UVI_137,0.08081,SSID,A,Control,HH,C
UVI_137,0.25652,SSID,B,Control,HH,C
UVI_137,3.0953,SSID,C,Control,HH,C
UVI_137,0.20195,SSID,D,Control,HH,C
UVI_137,62.04165,SSID,HOST,Control,HH,C
UVI_137,34.32377,SSID,UNMATCHED,Control,HH,C
UVI_138,0.09058,SSID,A,WP,LD,C
UVI_138,0.20818,SSID,B,WP,LD,C
UVI_138,1.84403,SSID,C,WP,LD,C
UVI_138,0.16243,SSID,D,WP,LD,C
UVI_138,67.0805,SSID,HOST,WP,LD,C
UVI_138,30.61428,SSID,UNMATCHED,WP,LD,C
